OP,A1,A2
+,1796,16143
+,4797,8097
+,14448,18576
-,731,0
+,2726,12419
+,6513,9846
+,3434,18351
+,16118,10001
+,4970,5207
+,9023,19617
+,13740,15828
-,828,0
+,5439,5674
+,15731,5968
+,6754,4449
+,3810,3743
+,9095,4258
+,14781,10104
+,14216,18889
+,461,19041
-,942,0
+,9015,441
+,10690,17159
+,17275,16592
+,17881,10314
+,11200,3552
+,2577,728
-,202,0
+,12543,12622
+,14342,6928
+,11556,18102
+,9757,15145
+,891,17345
+,12109,15473
+,4164,8763
+,17064,16341
+,10939,16390
+,13921,12494
-,707,0
+,764,11672
+,18127,18366
+,10533,19756
+,19228,3805
-,187,0
+,9362,4828
+,7436,12126
+,6662,9196
+,4414,2356
+,2812,19932
+,2903,15830
+,1155,7967
+,17672,10650
+,8612,1678
+,10012,10541
+,6927,14233
+,8144,14233
+,17778,19288
+,2054,3932
+,5461,5428
+,1498,16354
+,7182,5636
+,17407,5511
+,11333,15892
+,2646,18513
+,14970,10982
+,2566,17490
+,11643,16290
+,10005,12035
+,9125,11049
+,10180,15841
+,8754,4391
+,1189,12347
-,499,0
+,8280,10869
+,6546,17559
+,14603,16316
+,2825,13793
+,14352,10791
+,16114,4603
+,1002,18791
+,7917,17499
+,4456,17701
+,14662,10737
-,351,0
+,18197,9487
+,18539,9138
+,14588,809
+,18743,14294
+,5050,8450
+,4506,2202
+,7366,15410
+,11396,12355
+,14128,5930
+,15080,476
+,4820,4095
+,18831,11672
+,10972,880
+,10392,18894
-,755,0
+,5133,13219
+,19358,18572
+,10775,11211
-,997,0
+,10768,3882
+,16266,1490
+,3437,5048
+,10653,12086
+,2124,75
+,16925,15866
+,9489,5098
+,8051,16693
+,9107,19903
+,5163,12834
+,8779,7721
+,2394,15354
+,12086,11440
+,1709,8032
+,11091,11137
+,5440,17661
+,19480,15835
+,5045,10560
+,12452,15224
+,2969,9384
+,11287,12652
+,4187,3090
+,19502,2302
+,17564,1655
+,7795,18328
+,8945,17448
+,9498,3849
+,7398,17129
+,18568,16591
+,17849,1639
+,15939,1411
+,6876,8123
+,9650,9040
+,6159,16057
+,17574,8507
+,14485,11858
+,13881,14977
+,7976,5248
+,8551,550
+,8279,14888
+,3039,3670
+,15850,1083
+,17357,3929
+,12762,14872
+,17579,9903
+,19594,11919
+,17254,2878
+,3235,1218
+,11347,17138
+,8370,5895
+,179,15875
-,970,0
+,11203,2238
+,1363,7078
+,10688,16545
-,797,0
+,12328,5663
+,11107,1006
+,1787,19998
+,14621,11373
+,14631,11732
+,8622,11895
+,19533,19149
+,11963,11724
+,19137,13799
+,7171,9764
-,762,0
+,12911,15782
+,6595,5760
+,15424,5975
+,7036,11343
+,7510,4385
+,19623,14206
+,6803,15689
+,14399,8450
+,11144,19436
+,14847,10502
+,7626,9155
+,19643,4755
+,15596,19856
+,4929,6588
+,5793,13348
+,5243,10122
+,1118,4908
+,6734,17409
+,368,14599
+,16285,16132
+,8121,3590
+,322,13319
+,8171,6994
+,1884,5418
+,14910,10831
+,2171,4025
+,12921,9249
+,3381,14
+,12147,19860
+,2620,1894
+,5531,19671
+,5500,6600
+,19602,12080
+,15269,2395
+,7873,1608
+,6031,5274
+,15552,7379
+,19327,835
+,15797,3368
+,11059,3776
+,14404,15666
+,12374,11383
+,7455,10129
+,13362,4427
+,15232,10291
+,4479,903
+,9366,19177
+,2808,1942
+,9360,5664
+,18535,18537
+,15001,15292
+,15937,12251
+,10647,11472
+,15625,2993
+,1171,5232
+,17338,18891
+,14271,6493
+,4667,12535
+,6756,5809
-,729,0
+,19017,10263
+,8142,8353
+,3240,12547
+,8131,13234
+,14798,10393
+,17959,1177
+,2809,14081
+,14590,15608
+,8284,9975
+,7480,12427
+,17058,12241
+,14806,9077
+,4625,15232
+,17946,4113
+,18936,115
+,7068,18853
+,11433,18497
+,6687,8191
+,17377,16169
+,13076,1155
+,19059,2621
+,3887,8363
+,13894,6448
-,1000,0
+,8886,17116
+,5639,10226
+,18716,10532
+,3293,2923
+,1658,6155
+,2953,19504
+,6192,18033
+,12209,14067
+,7714,19302
+,19701,6139
+,2843,19323
-,885,0
+,16614,18679
+,5033,2210
+,8366,12208
+,17710,18235
+,2924,5073
+,12608,2627
+,8828,4666
+,7307,15371
+,17049,19156
+,13889,12476
+,8900,4042
+,7831,3478
+,7856,1339
+,3696,11410
+,12121,6472
+,8005,16889
+,2956,19184
+,8804,9637
+,8091,5198
+,19779,11564
-,582,0
+,542,5661
+,17635,15819
+,9555,8284
+,2283,18620
+,12600,4610
+,4448,3249
+,10532,4381
+,19980,1861
+,2113,49
+,15067,6299
+,13662,6242
+,989,9254
+,18865,1946
+,6615,19533
+,14706,18277
+,9831,17591
+,15374,3625
+,16161,16583
+,10295,17561
+,992,9269
+,16075,8447
+,8435,5261
+,7420,7999
+,13679,7687
+,1527,9528
+,2701,10049
+,4754,10143
+,8201,18477
+,15705,4926
+,18052,3974
+,16200,796
-,254,0
-,518,0
+,15275,7900
+,13800,9897
+,14919,9949
+,15425,8579
+,5253,6794
+,18130,2356
+,4936,9706
+,10376,17482
+,16136,4683
+,19791,17512
+,16365,17778
+,19654,2386
+,8101,17451
+,4110,15341
+,10286,9755
+,13026,15964
-,559,0
+,17486,11594
+,3966,15241
+,4098,8009
+,5091,11513
+,17467,2772
+,1181,7020
+,4243,15586
+,4825,18448
+,3744,10877
+,10362,10458
+,1113,9125
+,19850,14078
+,15366,15194
+,7165,7137
+,12237,2157
-,548,0
+,1627,396
+,4536,11416
+,4394,12212
+,5813,2036
-,679,0
+,2383,15861
-,822,0
+,12141,4649
+,6506,4201
+,18717,7427
+,8172,15862
+,2021,9840
+,14862,10837
+,1088,3984
+,8982,9679
+,14445,10676
+,19733,13518
+,18256,231
+,12733,4319
+,16744,15201
+,17911,10307
+,16252,17101
+,2322,10328
+,837,5631
+,3857,6618
+,13677,3745
+,6939,8701
+,19128,4242
+,15129,404
-,260,0
+,17896,16752
+,15011,17003
+,13778,17939
+,12750,13433
+,17040,3051
+,14061,17782
+,8212,14469
+,8946,6840
+,13090,10343
+,19291,19443
+,16579,10012
+,12576,3013
+,15855,12931
+,2867,19673
+,10691,676
+,16053,18633
+,17082,13116
+,2875,16639
+,1250,19128
+,9591,18516
+,7024,4299
+,13274,16029
+,12948,14282
+,18387,5258
+,18819,19817
+,7446,16569
+,4821,4280
+,8573,12738
+,10198,2153
+,19271,8884
+,2670,1334
+,10313,7107
+,16087,19398
+,8450,1337
+,17677,1283
+,13265,10478
+,19595,3657
+,8363,16672
+,18966,15693
+,10516,6461
+,13063,5216
+,563,10832
+,5968,16345
+,4788,9415
+,15396,9875
+,1726,4339
+,16016,17023
-,278,0
+,11068,19714
+,5748,12233
+,3166,7366
+,14096,8534
+,4501,5428
+,1490,11528
+,15825,19807
+,19468,10856
+,19804,18029
+,2631,710
+,15057,11694
+,3220,4857
+,10950,1082
+,19488,16763
-,71,0
+,1477,6807
-,56,0
+,13012,14953
-,80,0
+,1295,18437
+,14789,14346
+,11882,16433
+,16768,15281
+,14716,3248
+,11964,3414
-,758,0
+,16244,7152
+,15236,8085
+,13590,14443
+,19370,16109
+,6190,382
+,10985,18876
+,18848,12384
+,5113,11298
+,1218,1561
+,15032,9670
+,19318,784
+,10719,9936
+,2030,10044
+,18583,14264
+,14095,1142
+,11,15635
+,13092,8700
+,11677,10240
+,11848,11062
+,320,1848
+,16777,6686
+,11972,5110
+,958,1245
+,5432,4158
+,19453,3992
+,18586,4507
+,19762,13285
+,12639,15019
+,13392,11583
+,1816,7260
-,717,0
+,18563,2851
+,4610,16781
+,15320,19586
+,15644,4099
+,9676,579
+,323,4507
+,11992,4525
+,14599,11221
+,5967,8010
+,13506,3224
+,15205,7973
+,12726,7191
+,9817,12621
+,2835,16429
+,5862,17704
+,12168,6028
+,7427,2653
+,11847,7122
+,12276,16075
+,19294,19646
+,2524,6275
+,7169,18726
+,14495,60
+,17897,6827
+,17205,5390
+,16513,10679
+,5217,10079
+,8499,10033
+,9849,15993
+,9742,2857
+,3691,19735
+,8596,14613
+,18143,16418
+,11086,16417
+,14871,8041
+,15970,19449
+,5573,18588
+,13957,7114
+,8940,9763
+,18141,10940
+,13722,13266
+,19081,4416
+,18268,19478
+,5179,11315
+,13827,2176
+,19576,8980
+,9641,7462
+,13473,2953
+,5971,2554
+,652,5664
+,1694,19283
+,9969,7724
+,9561,4902
+,13761,12710
+,6191,44
+,3774,8605
+,13439,12968
+,3059,4795
+,18382,5622
+,188,5333
+,11716,5028
+,7570,12643
+,15416,14697
+,13503,6776
-,105,0
+,17592,11783
+,4293,5942
+,1502,8338
+,2845,3894
+,618,4120
+,12936,7334
+,4710,17629
+,8916,17772
+,14831,17523
+,4761,10063
+,6131,1538
+,7518,17711
+,2319,17865
+,7780,17629
+,19471,17316
+,19877,7493
+,18991,15592
+,9139,12320
+,1692,13920
+,1757,9023
+,9405,7558
+,13312,289
+,14796,790
+,16349,7988
-,983,0
+,16958,2931
+,5117,16250
+,10311,12129
+,3145,3032
+,15562,9319
+,15112,2742
+,124,16548
+,16159,18774
+,8084,4074
+,14373,16498
+,13179,17441
+,16446,3771
+,2828,5136
+,14987,5766
+,6960,15155
+,16560,17160
-,56,0
+,16055,8315
+,15481,17949
-,733,0
+,2484,1597
+,15071,12067
+,12517,1864
+,4107,1733
+,17900,16621
+,6178,12050
+,19531,8093
+,12786,9428
+,4284,14907
+,17996,3948
+,11981,14854
+,7768,12330
+,5540,19932
+,14766,2699
+,2072,19171
+,19485,4355
-,295,0
+,1114,17480
+,12654,12930
+,682,12337
+,4800,18801
+,10959,4151
+,12095,12786
+,1938,13767
+,8244,10900
+,16520,13680
+,14046,18324
+,14213,9745
+,19941,6206
+,12488,3017
+,9884,5454
+,10855,12639
+,5114,2915
+,17164,8715
+,10707,16146
+,7418,9603
+,18459,1006
+,12567,15919
+,10912,1031
+,16141,18167
-,984,0
+,14570,18480
+,19614,6206
+,458,17481
+,19073,11928
+,9210,8262
+,17908,19046
+,8839,4367
+,3958,1025
+,5014,427
+,12462,17527
+,7213,4366
+,3242,9034
+,5470,7505
+,4440,7649
+,9160,16820
+,19500,1835
+,13534,14974
-,704,0
+,10481,16361
+,8224,19231
+,14351,4651
+,367,7047
+,15565,15208
+,395,13100
+,2288,17042
+,199,14204
+,7993,10546
+,17562,16954
+,3944,7945
+,18538,19168
+,13267,3090
+,19923,11381
+,3604,17426
+,9506,9273
+,18753,9267
+,14820,11640
+,9109,17768
+,11811,6408
+,7997,17479
+,8888,16287
+,3079,4527
+,19467,19471
+,19730,10698
+,12075,7984
+,8774,17769
+,11489,5162
+,7361,8899
+,6220,15651
+,19121,17704
+,14517,4979
+,2786,16470
+,2558,19217
+,627,18393
+,10700,1690
+,15066,2684
+,15632,6913
+,2393,4942
+,12421,8586
+,11212,19981
-,109,0
+,17871,3806
-,80,0
+,6126,2121
+,1901,16009
-,106,0
+,19715,15981
+,19523,5654
+,11292,15051
+,12027,9727
+,1089,8407
+,2417,17469
+,17838,1657
+,10087,12330
+,1942,12177
+,3462,1006
+,1721,12832
-,267,0
+,11112,16159
+,6966,9969
+,12680,4610
+,8342,903
+,13916,4011
+,16537,16907
+,18151,8238
+,13698,8439
+,12915,3848
+,5882,8577
+,14279,3625
+,399,10424
+,5916,17158
+,15251,18179
+,19479,10014
+,10084,14472
+,14879,6721
+,5359,7236
+,16000,13166
+,597,14008
+,7657,4984
+,2232,876
+,19298,6266
+,1803,785
+,3256,3048
+,7405,16602
+,7471,1608
+,6283,4576
+,11040,4829
+,19368,12328
+,15801,19890
+,2091,4410
+,539,6852
-,900,0
+,6563,10820
+,2996,19009
-,191,0
+,11824,18510
+,13350,6917
+,4717,12635
+,503,6529
+,15493,14366
+,17115,2524
+,19330,6802
+,18276,13729
+,2650,3815
+,8560,16681
+,10409,8587
+,4802,12908
+,3631,17075
-,784,0
+,16074,1514
+,6287,17292
+,12039,14044
+,14845,6144
+,19585,4867
+,7468,16972
+,6522,17065
+,2306,16714
+,1463,17054
+,6364,529
-,497,0
-,139,0
+,19203,16088
-,437,0
+,17591,2912
+,19411,19581
+,9013,4159
+,16642,5777
+,2501,16152
+,17299,7392
+,13760,11526
-,765,0
+,12698,13619
+,18334,4784
+,17763,17145
+,19094,14137
+,360,12724
+,6215,5287
+,15952,13255
+,18802,2493
+,18800,18897
+,7139,19688
+,7386,14043
+,4089,8538
+,14439,14576
+,3708,10860
+,11399,16675
+,7785,252
+,2436,8556
+,3903,2042
+,19131,8673
+,8518,2562
+,3779,11519
+,15226,6780
+,297,9816
+,9161,15664
+,4111,4856
+,2774,6313
+,3659,15293
+,8159,2281
+,12348,9795
+,19224,5673
+,9222,1730
+,14979,19021
+,1760,18098
+,2964,6232
+,10377,12897
+,18652,19124
-,278,0
+,16555,19237
+,1166,11388
+,13903,2014
+,13520,12001
+,15177,7699
+,6547,7092
+,468,13006
+,10604,8794
+,12105,310
+,4357,4829
+,1558,17181
+,13238,8583
+,12122,19160
+,13359,1545
+,12300,19766
+,8605,432
+,16660,1601
+,11046,2162
+,5588,2690
+,8314,5443
+,10240,14529
+,840,5126
+,9954,2417
+,10833,16599
+,14245,17570
+,14988,14475
+,875,10951
+,13248,14412
+,16275,12381
+,13470,13925
+,15342,10126
+,16502,10043
+,19851,2453
+,9044,10326
+,16695,15710
+,16648,16965
+,5773,1436
+,2419,19908
+,1184,3
+,4371,4567
+,10278,10488
+,14175,12777
+,17761,17442
+,971,17415
+,14048,2091
+,14323,7408
+,14058,18607
+,3347,1529
+,17046,13486
+,2338,15726
+,1909,9294
+,8160,17093
+,4713,14823
+,7550,12160
+,19278,5834
+,13095,9408
+,1848,3678
+,10359,6284
+,2466,6857
+,16497,10725
+,10281,10361
+,16305,12134
+,2175,13714
+,7971,8035
+,16578,4779
+,6449,17124
+,16505,324
+,8675,9690
+,13713,11959
+,12062,9692
+,4557,334
+,3458,4791
-,525,0
+,19655,11712
+,5232,18861
+,16302,3661
+,10657,2287
+,10388,4744
+,19498,2734
+,12638,3920
+,2327,8315
+,10838,16397
+,3369,13727
+,11698,13092
+,4356,18546
+,16704,1568
+,9974,17482
+,15086,17209
+,19912,3098
-,13,0
+,9302,4515
+,14269,18562
+,3399,4008
+,3795,18638
+,339,17971
+,661,17401
+,5509,5399
+,1264,18737
+,6863,8026
+,11253,10399
+,9712,12628
+,8745,14766
-,589,0
+,14684,8837
+,19199,16302
-,357,0
+,1905,9214
+,243,1760
+,16599,6991
+,7578,12717
+,9814,8237
+,17993,18844
+,13550,2051
+,18137,17950
+,1373,12288
+,6120,1155
+,7794,15593
+,1268,10378
+,14712,2605
+,5827,600
+,8376,8035
+,1100,5175
+,9082,4128
+,4278,2260
+,10210,1637
+,15849,19937
+,6604,18181
+,17364,15184
+,7675,17562
+,1691,8657
+,12972,3744
+,14526,1783
+,9538,823
+,13529,4438
+,15053,6947
+,19174,17913
+,10010,11942
+,13576,6749
+,1974,12049
+,12922,9736
+,11542,19706
+,16880,17312
+,12982,14804
+,7137,2698
+,2675,11963
+,16374,11192
+,16213,15544
+,10192,16676
+,19464,6421
-,861,0
+,6710,3399
+,10769,9347
+,13049,2184
+,19253,2726
+,2105,18250
+,9054,18739
+,1185,13639
+,4229,9684
+,5516,12628
+,10100,4170
+,11548,16014
+,9379,18252
+,927,1676
+,13485,9533
+,11666,6291
-,629,0
+,304,12494
+,3149,2770
-,216,0
+,6568,784
+,16508,18136
+,8995,18808
+,15840,8056
+,4986,15263
+,18622,19658
-,568,0
+,4740,4275
+,13445,3446
+,845,13721
+,5335,15691
+,2495,5398
+,10849,11777
+,3564,17280
+,17636,6702
+,6622,13864
+,5241,1795
+,3374,10776
+,116,18021
-,4,0
+,6100,12627
+,11255,16087
+,197,973
+,13069,7809
+,14469,14413
+,19037,17842
+,17788,19412
+,6082,18637
+,10910,9727
+,8909,13745
+,6537,10094
+,14264,11950
+,9325,9815
+,17490,13240
+,1182,5981
+,5929,8450
+,4732,17706
+,15964,15538
+,397,9058
+,10610,2330
+,17793,17256
+,19378,14804
+,858,18406
+,12721,13147
+,6346,17433
+,19154,11212
+,3249,19589
+,18270,17491
+,1449,18578
+,18565,9375
+,1560,9203
+,19716,18545
+,3411,6188
+,11755,3984
+,7111,15017
+,11158,8012
+,12280,7767
+,14462,4233
+,12809,18151
-,726,0
+,18028,10342
+,10582,18491
+,7079,13269
+,9112,6407
+,7615,1608
+,13134,11973
+,12467,11101
+,7256,20000
+,34,10936
+,1654,14053
+,16990,12670
+,14483,19512
+,10793,18660
+,14182,16100
+,11919,2412
+,709,1622
+,17238,1469
+,12553,9521
+,8290,16948
+,4100,3378
+,16208,8128
+,2352,19079
+,13591,18143
-,291,0
+,7308,18072
+,14362,6460
+,607,16082
+,7911,3207
+,5000,14933
+,13145,6397
+,8090,12899
+,8984,6958
+,14383,13781
+,8910,18202
+,15072,15741
+,9563,1021
+,8718,6163
+,13840,15478
+,14248,5087
+,8126,12337
+,8813,3654
+,19819,7217
+,14923,8557
+,9100,15195
+,17369,16661
+,18657,5318
+,1313,10387
+,16742,19013
+,9997,3366
+,17522,2339
+,17144,18477
+,1745,8844
+,2696,8563
+,11684,891
+,19717,8968
-,671,0
-,332,0
+,11377,5625
+,1050,13314
+,1499,1027
+,16549,16207
+,743,15795
+,10327,16692
+,19683,19638
+,10558,19933
+,4477,17857
+,17204,12263
+,19924,2653
+,8579,19567
+,5101,412
+,1639,6484
+,18814,7445
+,1851,4225
+,4836,14123
+,11749,15569
+,5517,1266
+,5622,3980
+,16934,8432
+,18536,19159
+,4601,16654
+,16654,18731
+,6056,12694
+,18114,3430
+,16789,10572
+,3839,14779
+,10174,12931
+,8453,11921
+,18844,12674
+,19728,3925
-,291,0
+,1566,6947
-,124,0
+,15476,14541
+,8505,2275
+,11033,4558
+,13005,13034
+,19788,6675
+,5012,16847
+,9251,7892
+,2685,4494
+,15590,17560
+,18885,1631
+,13006,3514
-,444,0
+,11125,15275
+,1519,16309
+,3542,3967
+,91,19490
+,3070,2727
+,11353,19305
+,5002,1529
+,8921,7505
+,12231,8514
+,58,2850
+,4335,13210
+,6462,9807
+,5381,8477
-,354,0
-,513,0
+,44,8371
+,7825,7946
+,8350,17824
+,1996,7719
+,5693,9509
+,1469,19930
+,8393,18510
+,3578,10758
+,16485,19852
+,4311,17837
+,686,581
+,1006,13979
+,6804,19887
-,261,0
+,14361,7161
+,6746,18714
+,8016,7451
+,4653,10352
+,17209,885
+,15338,14470
+,7689,9624
+,11613,13849
+,10743,15505
+,12165,8685
+,7315,19614
+,8243,1191
+,18093,2754
+,1416,9160
+,15696,11915
+,16975,3641
+,12962,16955
+,1212,3414
-,79,0
+,18145,15336
+,4882,15264
+,7252,385
+,12253,6604
+,5816,5129
+,14508,7700
+,19133,13498
+,15250,16788
+,16030,13026
+,18554,13442
+,6854,19791
+,6860,10195
-,965,0
+,12671,16669
+,9842,7882
+,5550,4448
+,14839,18608
+,17187,5154
+,14239,5140
+,11636,11990
+,19092,17834
+,11925,689
+,17038,7459
+,16587,10169
+,13226,18917
-,657,0
+,15392,14652
+,18758,1025
+,5154,1533
+,18972,11321
+,14090,13320
+,11354,12507
+,14532,1404
+,9387,15895
+,7429,18130
+,8594,4124
+,3513,13559
+,16411,17651
+,93,6570
+,10717,1697
+,9175,10851
+,19206,2558
+,965,895
+,5619,12762
+,10563,5834
+,11437,406
+,17578,2192
+,17510,1166
+,209,6593
+,17536,7213
+,10938,16031
+,14168,557
+,12484,18185
+,1791,19708
+,11801,3821
+,11938,7177
+,6525,19287
-,870,0
+,15219,5825
+,13136,10201
+,19816,395
+,1309,586
+,13459,161
+,6559,12949
+,2103,6660
+,10952,2945
+,17784,10895
+,4259,815
+,11723,2194
+,5982,13377
+,7782,12201
+,16512,18719
+,11568,18960
