OP,A1,A2,A3
+,1889,13940,10273
+,12838,16828,17231
+,346,4581,2602
+,4743,4811,8009
+,9147,19239,3207
+,18564,1736,14697
+,2028,11578,10460
+,16838,17256,18925
+,11812,10216,14798
+,5473,8777,11749
+,8704,13038,7835
+,18787,2238,4371
+,1550,15539,6923
+,495,17826,4761
+,6321,11107,13268
+,18504,12723,18870
+,7840,19876,14404
+,4498,15916,18115
-,92,0,0
+,19879,2908,2757
+,12759,4420,17609
+,9836,19428,15308
+,2105,1919,1121
+,16429,13298,626
+,7053,17036,16297
+,16871,10705,18292
+,6860,9625,1451
+,6661,16961,9562
+,5635,18856,2584
+,1286,12348,12529
+,11427,6711,13196
+,19271,14529,4259
+,16211,8835,10330
+,5148,9788,7748
+,11189,1091,8855
+,16899,3982,534
+,7001,19047,15401
+,3718,12331,18858
+,18398,10519,14578
+,6218,5394,419
+,16379,8709,19033
+,15811,9352,7813
+,6894,10191,16848
+,7165,15071,9542
+,15634,1218,15646
+,13493,1717,12625
+,19371,423,9826
+,17037,9443,6233
+,10120,18963,3893
+,322,12575,9766
+,7286,5735,3391
+,17572,9923,11258
+,2402,16362,19834
+,14204,11950,2914
+,18088,9278,10901
+,2020,7399,11213
+,18646,15813,8195
+,10623,10874,11769
+,12579,18713,9001
+,1235,16685,183
-,865,0,0
+,1613,10353,3996
+,5618,11459,16308
-,679,0,0
+,11667,13440,9495
+,8079,5884,6051
+,19919,17864,9329
+,16593,13175,19020
+,18861,939,7879
+,8398,15720,2389
+,8474,19590,5985
+,14182,2954,6835
+,15799,6761,3248
+,10033,7589,1915
+,4770,1931,2728
+,7769,19723,3619
+,5499,13777,10871
+,10793,14801,17977
+,12275,12447,10225
+,14534,9895,8918
+,5886,17464,18452
+,8747,2020,7602
+,4362,12003,9999
+,14495,11004,1463
+,4909,8118,12232
+,108,1745,1520
+,4158,17161,11264
+,18009,17727,1042
+,11472,0,912
+,19560,9406,4901
+,18946,12661,14410
+,4695,10488,11855
+,4916,3731,15266
+,1172,11557,775
+,18067,11799,14411
+,6066,18423,3606
+,14952,12479,15084
+,7156,15367,2539
+,11287,1208,2293
+,2196,8203,11299
+,5233,15834,6588
+,17750,19342,11902
+,11737,11531,9281
+,3207,12121,16211
+,4418,17115,1067
+,19506,15239,13703
+,9313,12327,16620
+,12589,16627,11972
+,9560,6731,14230
+,1405,10164,5542
+,249,332,3038
+,6088,11223,14318
+,9721,4367,6577
+,2788,581,19606
+,7216,4177,13839
+,19536,3282,6327
+,2983,10623,2772
+,2295,1824,13892
+,2719,2999,17130
+,5398,8847,4299
+,8281,711,5036
+,12444,13589,14393
+,9324,8036,6494
+,15353,9817,5063
+,6082,1901,12522
+,16526,17793,2037
+,2018,573,19093
+,2492,3659,2695
+,11143,4485,3707
+,2973,18025,12425
+,15172,10538,11884
+,15469,15478,2085
+,15930,6485,9600
-,767,0,0
+,505,11176,16622
+,14583,18278,4255
+,17446,14704,18566
+,18626,6379,3386
+,5532,6565,7354
+,16531,381,14801
+,9128,8811,3434
+,13567,16400,9534
+,12357,8432,7071
+,6925,10585,9057
+,6051,10919,6536
+,19476,9183,481
+,11701,17464,11246
+,12079,10656,5025
+,9594,19832,188
+,17724,825,813
+,11606,17749,2275
+,6145,17495,15045
+,15400,4981,10066
+,997,16101,8997
+,16908,10659,15031
+,16346,16829,11712
+,451,14783,18040
+,16127,18256,3226
-,254,0,0
+,3470,10256,17302
-,355,0,0
-,363,0,0
+,3985,872,618
+,19473,16374,2377
-,503,0,0
+,8878,3733,2519
+,13811,1573,2070
+,522,9396,19030
+,10995,9705,7412
+,3028,8851,8018
+,15043,8212,6000
+,2939,6703,19000
+,12503,5753,13810
+,8550,1520,1635
+,8485,17583,9088
+,11830,17591,3214
+,10457,10599,13663
+,13802,2932,10736
+,17690,17592,16126
+,5695,13115,9602
+,14873,18132,3408
+,326,3408,5570
+,7962,14300,13815
+,4360,11869,5156
+,4683,2129,8296
+,827,14338,15813
+,16791,10893,15500
-,862,0,0
+,14408,19901,3281
+,4061,11355,8500
+,14637,18964,9511
+,9164,8855,16796
+,13111,16639,11290
+,14352,18008,1826
+,15751,19672,10904
+,3337,18259,8596
+,14538,2399,7008
+,3289,5802,13080
+,6050,8818,14358
+,4830,10145,8891
+,926,16104,17053
-,606,0,0
+,9112,7358,5159
+,6950,8888,14353
+,17022,4194,11647
+,10286,5436,61
+,4185,18432,19375
+,4123,10885,19375
+,6506,10411,3562
+,9010,14340,8409
+,7398,12135,7264
+,16894,13626,2354
+,3926,7637,12482
+,9860,18120,3920
+,2999,16035,7943
-,119,0,0
+,10695,5112,19028
+,3845,13213,17600
+,10807,16595,13113
+,18912,17544,16388
+,724,2603,8850
+,16770,8912,6553
+,14379,17060,7387
-,851,0,0
+,9266,2038,2605
+,18893,7576,16490
+,16575,10679,18254
+,13538,3832,7808
+,10004,14946,1594
+,17989,12811,19549
+,110,18243,16280
+,19656,2564,6142
+,1947,5927,15463
+,14801,11610,15177
+,9716,6301,3191
+,2826,17178,8495
+,15253,14570,7886
+,66,14452,16097
+,7654,11698,16700
+,6299,9527,16765
+,4509,1023,8204
+,5910,951,12001
+,13413,18711,6698
+,502,13699,3951
+,12269,8932,15292
+,13060,16127,19925
+,3992,5595,16798
+,3105,4528,4847
+,16116,3366,7560
+,18773,5196,18476
-,311,0,0
+,9097,1572,17923
+,12092,19099,8867
+,7844,15388,12509
+,19558,9329,17923
+,16798,15383,10249
+,4339,45,511
+,11648,3115,16879
+,6878,16438,15660
+,11370,13821,19411
+,13536,9778,12221
+,16322,11826,3761
+,5852,19311,2256
+,8553,13410,2451
-,537,0,0
+,9504,4636,2611
+,2833,15412,6516
+,3745,18127,15255
+,1608,4472,13175
+,8053,1094,6625
+,3918,8739,12439
-,538,0,0
+,4620,14305,1644
+,11853,18282,14050
+,18060,4996,3308
+,1108,8632,16878
+,7049,10957,12469
+,11074,12669,19127
+,504,19488,18863
+,7429,3647,15938
+,17695,103,18098
+,7977,6249,10043
+,16227,13057,8621
+,3018,15177,19950
+,14991,5398,11872
+,6523,1988,3991
+,17784,9533,2742
+,11628,1330,5410
+,12065,13878,13982
+,12344,13309,17475
+,13598,5295,17202
+,5884,10504,3977
+,2656,12148,5098
+,14213,8246,15535
-,714,0,0
+,3195,2534,2882
+,5989,6568,13682
+,7556,10375,9685
+,2586,8503,17975
+,10401,11568,3184
+,2316,16474,6971
+,11771,8310,6744
+,15568,19962,15344
+,12966,4670,18663
+,2601,3033,15498
+,17287,10200,4003
+,3526,6822,9640
+,18983,2808,5119
+,14211,5467,2159
+,3523,1318,18435
+,2561,5219,1095
+,8272,1156,8869
+,4554,9174,577
+,17721,14204,3747
+,7762,10720,3273
+,15349,7697,12762
+,7736,5155,12332
+,19313,19373,2573
+,19289,17338,529
-,593,0,0
+,1447,5488,13658
+,956,17298,15582
+,14106,9578,13853
+,3307,15420,7327
+,12776,2974,2286
+,10181,8560,11743
+,11211,16401,7433
+,10411,16997,4732
+,17523,3527,6011
+,18155,2696,14293
+,5524,19146,17136
+,16983,10094,10857
+,15369,5269,11627
+,4214,16349,15570
+,9114,13030,450
+,17496,19123,6922
+,11550,1663,4990
+,11559,2109,1887
+,14906,19379,1861
+,5976,1130,15644
+,11215,2163,13738
+,12218,17997,12171
+,6071,9994,19505
+,9322,17081,3566
+,15138,12974,8839
+,5225,18386,12332
+,19673,11293,14342
+,18733,4570,10801
+,8976,4349,5503
+,14644,6764,3442
+,17761,2928,465
+,18246,8651,6256
+,239,11833,4677
+,15773,8750,18723
+,15372,5628,8280
+,18692,5534,4749
+,19119,14462,7090
+,5694,19082,4305
+,6866,15860,11695
+,4366,3516,12989
+,11334,7846,9949
+,6368,19807,8841
+,19252,14875,6059
+,940,2486,15295
+,553,19249,7022
+,19341,14751,4981
+,5802,8765,3185
+,9894,14086,13933
+,19338,6360,3270
+,10945,3711,4226
+,1559,7848,3195
+,16145,12998,13423
+,12186,2103,13539
+,17936,9327,4623
+,17080,3078,14487
+,2009,11235,12020
+,13555,8056,5217
+,3736,15507,15736
+,11825,15865,4330
+,16943,15045,5318
+,6738,10434,3861
+,13312,12935,4719
+,2955,13019,6103
+,4029,6209,17482
+,9474,2147,18078
+,17498,977,6675
+,17610,4602,5606
+,6591,2671,8159
+,8232,17693,16652
+,19254,9204,4628
+,16906,4879,15154
+,2909,19047,9340
+,15098,13693,10550
+,8521,8636,15619
+,5294,9073,15633
+,3655,15335,10892
+,19843,10832,11157
+,13437,8514,13862
+,1760,8789,10216
+,11184,5694,17083
+,11448,970,4116
+,2016,5589,7879
+,12411,16976,14079
+,14036,9197,7144
+,13438,14681,11205
+,18224,1045,12094
+,12388,4984,18237
+,4722,13547,12612
+,16650,18057,6299
+,3611,12799,16591
+,18278,18188,1445
+,2594,4443,10103
+,19230,11589,18905
+,16573,9594,14052
+,9524,2580,934
+,8557,14242,14044
+,17908,8460,7160
+,14607,4707,1071
+,1356,19621,1229
+,2929,19384,6845
+,15457,16027,7361
+,9493,10734,8260
+,17262,17016,4593
+,17619,5453,15618
+,6639,10784,12560
+,3582,14838,6310
+,14849,12567,10532
+,12048,17039,14680
+,11850,11389,2682
+,10232,4255,1915
+,12811,17097,14555
+,6010,5514,9667
+,19285,9346,3454
+,12196,3164,13407
+,15261,7458,7668
+,6039,9702,6790
+,9468,15068,6286
+,3348,4440,2536
+,12416,10402,1647
+,14177,3380,2616
+,18292,7542,13812
+,9520,10092,16027
+,10849,11665,6616
+,10918,1432,8806
+,14423,9130,17759
+,1758,634,15533
+,9408,4828,4141
+,5010,18037,13779
+,9533,19948,12356
+,5236,19538,7173
+,13284,18930,13031
+,17235,4367,7426
+,7004,19795,19495
+,6210,4708,1584
+,11564,361,18893
+,4332,12354,1975
-,232,0,0
+,3098,11736,7127
+,11656,14285,17196
+,17918,514,13347
+,4520,9697,16842
+,16088,13300,6547
+,2275,19204,17859
+,3717,12481,12816
+,19621,8783,18803
+,18724,1151,8746
+,16830,15772,15733
+,2158,0,18039
+,5173,18361,203
+,1934,6645,13427
+,279,11857,6377
+,11645,7579,2429
+,2225,5631,17166
+,9548,10540,7061
+,6585,14113,16776
+,3605,17577,12282
+,4845,8937,12568
+,7015,8016,11099
+,2421,3819,1033
+,1568,18373,5255
+,7797,12536,19581
+,19237,18806,20
+,7237,11690,6861
+,1206,16316,3007
+,8717,9294,6343
+,208,4723,3182
+,16917,15912,19092
+,15753,8327,11137
+,5820,1789,11218
+,9012,16053,16245
-,658,0,0
+,5656,15057,6743
+,18017,16999,14349
+,4410,268,11798
+,3490,2581,6019
+,8887,9296,6244
+,16407,3219,8583
+,18659,2183,15370
+,1993,14660,13179
+,11151,12386,1305
+,7560,12184,10961
+,17459,4401,9941
+,12732,15843,5833
+,2818,8546,822
+,6074,9616,14351
+,19201,11655,14788
+,2470,16585,4034
+,1084,1335,970
+,16762,8039,17937
+,15245,17837,5305
+,14673,18501,3991
+,7009,19810,17727
+,12166,14754,2207
+,3821,1117,6798
+,8078,16765,5401
+,5817,15889,16292
-,204,0,0
+,19247,19013,7407
+,5399,1878,172
+,191,16157,8011
+,16683,17883,10505
+,7555,7207,1220
+,16445,1043,9755
+,6976,2475,19532
+,16774,12169,1138
+,15706,13406,19792
+,13091,1792,8255
+,11244,18378,17546
+,2116,14823,3146
+,1063,18431,19656
+,9472,15732,17318
+,10182,19848,5745
+,13969,6800,13098
+,1088,18288,12907
+,10122,19615,6017
+,8058,8664,12433
+,17638,18396,4028
+,8298,6332,18580
+,5962,14912,1496
+,15017,1227,5232
+,6380,14235,3965
+,19028,13672,16711
+,18867,9163,16865
+,17851,15246,13504
+,13355,18086,3671
-,170,0,0
+,13326,5435,12004
+,17798,542,5604
-,302,0,0
+,9091,3264,8162
+,14052,7760,12217
+,6624,1289,16192
+,14440,18262,8715
+,6841,7508,11474
+,11179,7149,8385
+,18463,11464,17652
+,18967,5822,807
+,5365,5983,6776
+,6777,18784,19571
+,2662,753,2374
+,4714,12993,81
+,13930,16339,17883
+,5277,5390,1893
+,16515,17625,10536
+,2318,960,6335
+,14494,4997,13098
+,19120,15503,19043
-,146,0,0
+,19680,12655,16023
+,8229,17168,9070
+,13531,375,9470
+,6750,5858,14085
+,10946,16115,1396
+,9356,1930,4787
+,17746,96,4187
+,18372,2449,9844
+,19761,5981,2880
+,12881,383,1421
+,673,5938,7802
+,19200,2145,3868
+,7594,9397,4360
+,12391,13053,9643
+,5228,4647,15922
+,16476,9958,7685
+,604,11029,6188
+,16620,14949,3239
+,184,6052,9408
+,5255,6860,8603
+,6810,3049,8173
+,8846,10729,15139
+,894,7031,18250
+,10372,1464,9164
+,7409,263,6148
+,2608,5027,1359
+,19936,2872,11350
+,5460,2638,2382
+,19077,3894,13660
-,532,0,0
+,15377,193,9838
+,9048,17274,6183
+,4316,5939,19257
+,2581,661,15418
+,5095,7229,57
+,16373,8218,15084
+,11994,18939,16847
-,266,0,0
+,14670,19657,18315
+,15110,8285,18514
+,19436,6136,8841
+,17471,4097,15555
+,14525,18539,12829
+,16144,12477,9371
+,13637,10003,3215
+,3849,2917,4014
-,291,0,0
+,16096,10783,6332
+,9374,10276,19769
+,15007,2731,1400
+,8673,18899,1886
+,14728,12706,19337
+,11286,250,11509
+,6467,13867,8771
+,12099,18720,14102
+,14661,13214,206
+,17668,13465,6064
+,15174,1046,4847
+,15316,18310,16092
+,3507,7932,7089
+,11982,19280,10060
+,13857,10039,14186
+,8644,18959,12446
+,9823,9656,17026
+,8548,7126,5619
+,1671,17659,12020
+,8117,16778,7310
+,5537,9057,7132
+,16776,18350,73
+,5791,14263,12602
-,321,0,0
+,11011,19880,1348
+,4968,15974,1676
+,13099,9426,7319
+,14582,9526,11162
+,2157,12725,11638
+,14675,3536,7181
+,5601,2928,12801
+,7802,15322,5924
+,6001,14747,18135
+,11335,9312,9475
+,18997,4203,4107
+,5496,18321,12175
+,4124,2727,13190
+,18375,6826,17067
+,16405,15816,9054
+,18166,19899,19376
+,15331,3207,7035
+,10588,14086,7140
+,16226,10480,1835
+,1329,9024,16861
+,5501,15647,525
+,13487,14779,14456
+,14277,8829,13914
+,16054,17263,1532
-,942,0,0
+,5271,19290,17290
+,6960,4422,5239
+,2884,13742,5448
+,14118,19635,19356
+,4463,13456,9245
+,19743,14463,1721
+,11930,18155,2789
+,2919,7832,6571
+,8547,15593,19966
-,140,0,0
+,14084,15288,19169
+,11225,11302,2348
+,7129,9781,10835
+,19320,16163,2847
+,19602,13850,17795
+,3325,7145,2755
+,17872,2290,7175
+,5073,11216,18872
+,4216,11924,4728
+,15467,158,18221
+,15375,2048,1206
+,9458,10485,4261
+,7381,5937,14895
+,5384,2620,10373
+,7730,18432,7448
+,6146,7492,11832
-,526,0,0
+,10718,10009,8135
+,12300,6354,15581
+,10057,19618,11444
+,6206,1959,1134
+,5717,13948,14300
+,3385,13113,9552
+,19050,10478,15717
+,7468,15252,17540
+,17311,503,19321
+,9702,7983,8098
+,7333,14129,9338
+,19794,14039,907
+,18194,8131,12895
+,19045,11310,333
+,8593,10521,19777
+,18553,5453,4686
+,6580,4504,1149
+,14546,16875,10869
+,12018,6224,17592
-,958,0,0
+,1371,13855,7288
+,14457,12374,4468
+,12425,12050,13972
+,3843,5558,1956
+,864,7020,12498
+,8315,10176,6113
+,7559,17077,10883
+,9709,1636,6288
-,954,0,0
+,18240,6499,14848
+,3406,19554,2640
+,12476,9772,2130
+,9184,19805,10131
+,9116,8597,13953
+,9034,13801,12655
+,6924,18594,7596
+,19615,4639,7799
+,3219,10439,18306
+,16386,4297,15450
+,7070,18620,5174
+,15963,15655,8554
+,7325,17996,16168
+,14840,15138,12502
+,11750,2803,18371
+,8771,1844,13684
+,13557,4156,19638
+,19125,11817,18641
+,7524,6173,12543
+,1099,6218,6931
+,3496,6160,16017
+,7136,10880,18471
+,7245,7735,10882
-,823,0,0
-,535,0,0
+,13399,6248,19900
+,16011,4425,1099
+,3790,1237,1304
+,12246,17553,11001
+,836,16910,8791
+,8207,4935,7388
+,6381,11249,16366
+,139,11630,8148
+,18218,12480,6535
+,6036,2107,10520
+,19884,13275,11333
+,10782,11887,1056
+,4164,9707,11224
+,13112,19288,11078
+,15741,5513,5561
+,18008,5081,17909
+,16248,18233,12335
+,13328,9785,5609
+,12081,6106,7315
+,18069,18433,11658
+,14295,2002,4838
+,7911,15525,12541
+,13948,17097,9672
+,549,17675,2123
+,9740,11694,8041
+,10977,17235,7133
+,9958,2185,13924
+,19301,19800,2951
+,16622,2758,19210
+,19839,14377,10921
+,565,11498,16638
+,11082,16794,9520
+,4118,2970,2499
+,8837,909,17120
+,1294,11984,3535
+,12546,9625,18936
+,4502,15237,8816
+,18777,9343,340
+,4431,11909,15948
+,13640,12518,11542
+,16063,8039,19303
+,8189,18151,11794
+,2010,7502,19759
+,7948,4725,640
+,14486,5985,11456
+,7179,14387,4743
+,636,10956,12667
+,4218,1989,10832
+,4443,774,2608
+,15502,15464,4661
+,13375,11082,9670
+,403,17982,17685
+,14469,9718,16349
+,12580,5821,8344
+,5781,3840,14539
+,17238,2527,3761
+,16455,16487,3345
+,14591,14756,10601
+,5197,19714,13610
+,2549,18073,2231
+,8206,711,19335
+,15157,14338,19721
+,8266,14112,18049
+,7213,16622,11804
+,7357,13724,3626
+,15515,10916,4499
+,3727,9887,11677
+,3419,13779,4244
+,14071,5214,1025
+,910,9003,18281
+,11372,12541,13805
+,11782,6598,7526
+,6377,19849,5434
-,738,0,0
+,18339,915,4682
+,19893,13788,1797
+,12631,8702,11000
-,836,0,0
-,904,0,0
+,9239,2545,6857
+,12550,11134,9653
+,7917,3375,3367
+,15597,3042,11039
+,189,14539,12456
+,1973,8717,8626
+,16239,16608,2249
+,3597,8995,12256
+,17777,2243,7555
+,1748,18322,1553
+,81,846,12127
+,15126,12149,12904
+,17991,573,2174
+,10659,1226,18888
+,4383,17607,5400
+,12710,4388,7263
+,3045,18898,16800
+,18444,4548,7420
+,13189,153,8256
+,4797,17510,19238
-,410,0,0
+,704,18117,10755
+,16350,9857,1622
+,17249,15668,17615
-,823,0,0
+,13751,6845,8413
+,18633,2519,10058
+,19629,10807,15571
+,9176,19931,18800
+,6409,14013,4942
+,5405,229,17280
+,14413,1629,12221
+,15069,15904,4207
+,17741,2294,7424
+,16735,19739,19689
-,726,0,0
+,14333,18767,3038
+,13742,659,2856
+,14258,2727,5388
+,11288,11623,8410
+,19068,1594,6100
+,5110,5581,1726
+,520,1233,4865
+,15189,9768,4066
+,11175,414,46
+,9812,6347,7502
+,7976,19518,13096
+,4827,12431,18812
+,5115,13447,1588
+,19160,2768,6682
+,1363,9044,10954
+,3367,18748,2109
+,14027,4328,18412
+,2433,1657,13649
+,16837,15789,3770
+,19081,1088,12403
+,8592,15971,12034
+,7088,10607,5293
+,6522,10093,7797
+,6697,3629,3343
+,13492,8940,11991
+,1992,2100,2246
+,10809,11408,746
+,12952,13199,4316
+,12822,1829,18210
+,19288,2587,7110
+,7582,8905,10714
+,14160,6902,145
+,16078,9980,16655
+,5186,15271,19187
+,6576,16816,4988
+,6427,19464,10438
+,7816,17947,5973
+,3102,183,296
+,6745,10710,12898
+,13774,17749,1782
+,13429,9343,11184
+,14524,16158,2483
+,13151,3131,5774
+,18929,8581,6132
+,2363,7542,18582
+,10157,13257,13899
+,11940,15585,16079
+,16304,12982,8161
+,1376,5847,1207
+,7114,12945,1916
+,8334,17356,16804
+,19209,1617,11703
+,6503,17550,10160
+,10890,15100,7231
+,4113,15801,17094
+,1835,11407,17607
+,9655,11833,17141
+,15333,18897,5089
+,19062,15896,2444
+,11381,9366,2192
+,18645,5835,10362
+,7355,9706,635
+,17618,12436,5418
+,3235,15014,17314
+,17215,18372,1890
+,14312,16986,16473
+,2306,8050,19344
+,17242,10401,5181
+,6029,12384,13614
+,11872,12012,3503
+,14079,12333,9442
+,4860,5645,7402
+,14209,4814,15030
+,19123,19146,4109
+,13181,4527,414
+,5569,5024,6809
+,10760,18654,4124
+,12930,11410,10857
+,19666,706,4888
+,19694,15750,18125
-,103,0,0
+,4772,13905,10540
+,3212,2240,304
+,13106,1068,2053
+,10014,12543,5274
+,4821,12411,10795
+,4943,16267,7991
+,9807,10726,10783
+,14089,7620,12311
+,2699,6754,16119
+,17585,10944,10028
