OP,A1,A2,A3,A4
-,278,0,0,0
+,2956,3642,64,9200
+,5738,1255,7054,622
+,170,9539,3871,1428
+,1440,3952,6987,1871
-,237,0,0,0
+,9598,3551,4064,16
+,3602,2419,6145,4718
+,4236,3160,9446,4129
-,348,0,0,0
+,1378,4181,4304,2337
+,5595,4777,290,4192
+,7390,1884,2227,2139
+,7549,1438,3783,4759
+,3767,8297,474,7048
+,3006,9634,4897,294
+,3520,1214,9534,4214
+,8752,437,4583,8097
+,2352,2897,4477,230
+,869,3317,3938,7798
-,461,0,0,0
+,4142,2435,2556,1648
+,2769,5371,5584,7316
+,2712,138,9518,1431
+,4007,1088,9815,9164
+,9859,6229,1688,7154
+,8940,4476,5908,4561
+,6475,5344,8138,3971
+,2302,9039,7791,1335
+,1688,9931,4370,6659
+,4305,2650,4097,2226
+,1106,5765,9622,7851
+,2939,9540,2991,1777
+,6402,4806,3856,9107
+,7729,1037,8734,2743
+,9786,2631,4174,7290
+,2727,1685,6314,6168
-,601,0,0,0
+,8650,5336,6946,331
+,1671,3993,2161,8362
+,2433,1883,960,3299
+,4644,7289,9564,6692
+,9110,5354,2959,2710
+,6343,2627,3585,3158
+,618,8322,8392,820
+,4728,7320,3464,9747
+,945,4365,655,6935
+,4718,3532,6079,5417
+,7687,7863,9750,3723
+,1604,7094,3953,6020
-,518,0,0,0
+,1,2960,4642,6733
+,3680,8972,2888,2711
+,2447,1006,1328,5498
+,9141,9783,7711,4360
+,2946,9207,6893,5015
+,7174,7137,9870,2043
+,155,9136,4385,8572
+,2159,5613,6087,5449
+,363,5953,6277,6971
+,3119,6393,8073,2006
+,8241,5982,3593,9302
+,6911,1201,9453,9453
+,2788,1099,7735,2544
+,2653,1474,8841,1430
-,94,0,0,0
+,3781,4788,9448,3511
+,4755,1650,6732,7344
+,6267,5172,17,3949
-,490,0,0,0
+,167,5289,231,7319
+,3377,1382,8796,2648
+,2050,8103,9065,2530
+,877,198,3673,5633
+,3162,5652,4323,7236
+,8236,867,80,8549
+,6092,6362,116,8247
+,9254,523,1428,413
+,750,1402,4494,4325
+,7632,17,3348,5788
+,1042,6064,8924,5458
+,4985,6032,3667,9525
+,2112,2215,4490,1637
+,5130,4557,2470,414
+,7674,4688,9842,8497
+,4462,9676,8625,8563
+,215,3409,7199,8511
+,5039,4394,6786,299
+,7950,2298,2915,4690
-,725,0,0,0
+,3862,3610,96,960
-,352,0,0,0
+,5724,8934,4325,4944
+,2755,3749,8461,844
+,9971,9436,3910,8583
+,9614,4257,8112,4191
+,4640,1023,6039,162
+,6609,5546,6892,4962
+,7892,5734,4712,5958
+,16,2930,5932,8797
+,8655,6382,8776,324
-,517,0,0,0
+,4812,6820,8808,1497
+,1796,6227,4442,9583
+,4050,1613,5157,6372
+,6774,9359,7197,451
+,4886,5680,136,8101
+,3626,3405,1788,7582
-,139,0,0,0
+,6156,253,5949,9278
+,2220,3387,4750,271
+,5574,6524,9633,9829
+,2196,7237,2042,3880
+,61,6601,7137,3995
+,8744,2243,4706,8763
+,5369,8602,9137,1463
+,5198,6565,8531,3375
+,8719,8274,9557,9279
-,11,0,0,0
+,3164,1851,6983,8377
+,1075,2480,41,6060
+,8112,3231,8249,5312
+,1717,2402,7480,522
+,1313,4708,7967,4593
+,861,3368,6069,7003
+,5799,7332,6895,4412
+,9020,5632,5525,6777
-,502,0,0,0
+,8055,6617,7532,6134
+,2058,6725,4921,6814
+,6041,294,383,9615
+,4594,2496,6425,5447
-,369,0,0,0
+,7859,392,4513,8199
+,7739,3795,762,3932
+,9135,9475,2419,8917
+,7178,2349,3641,9057
+,456,2582,10000,9553
+,3158,8502,9320,4833
+,3212,369,3469,5798
+,2798,1194,3537,7752
+,7006,9083,1517,6890
+,6541,6944,9397,8009
+,7620,2381,2130,2467
+,2538,9242,961,5662
+,9568,4807,6722,91
+,3116,4645,4613,4984
+,6914,8672,9732,6791
+,2730,8586,3765,7685
+,8599,4406,5486,7314
-,319,0,0,0
+,9498,7037,9662,5389
+,4792,6759,970,3896
+,9998,9316,9128,7031
+,5235,580,6589,128
+,6604,9194,4955,7825
+,8218,8983,5681,1252
+,6803,1273,6643,6396
+,9762,2888,7041,369
+,7862,2384,9265,4424
+,4167,3032,2945,5557
+,1923,9510,6511,3553
+,6844,2604,5572,6124
+,4084,5488,6191,2223
+,88,9893,3668,875
+,2411,3285,9548,1070
+,7477,6924,6241,169
+,7554,3355,2649,6768
+,1762,5576,3689,232
-,680,0,0,0
+,4279,7097,3478,6578
+,5793,9078,3939,7075
+,6254,5436,6969,5004
+,3057,7725,1298,8890
+,9159,8506,5290,8366
+,6577,8086,4182,8151
+,6378,5067,2318,2108
+,607,711,1236,6277
-,676,0,0,0
+,5632,1521,9392,6406
+,2354,2669,2338,1639
+,5569,7637,1742,8592
+,40,1459,9917,4422
+,6013,8494,3917,3090
+,9593,7591,8524,5175
+,6235,3108,2889,1712
-,109,0,0,0
+,503,6743,3876,1423
+,5651,590,3668,3510
+,3855,8742,8529,3775
-,965,0,0,0
+,1958,1804,8821,6560
-,952,0,0,0
+,2530,6977,6290,7989
+,8501,828,2986,5571
+,3882,1525,718,7164
+,1067,7188,8511,4055
+,4010,5671,8421,1495
+,2561,2813,9073,2554
+,8665,2692,7862,918
+,8033,1164,9562,8583
-,703,0,0,0
+,7730,1776,4678,7240
+,2092,8737,7266,3478
+,4190,7202,9521,1465
-,850,0,0,0
+,2863,1574,2193,1
+,5057,1033,2328,7247
+,2032,9887,1396,8303
+,3218,4948,3619,2293
-,166,0,0,0
+,1393,3014,3025,7007
+,8984,5023,5738,5672
+,6922,1327,4699,2250
+,2518,7844,7095,9203
+,3033,5633,7177,6336
+,5562,2960,9947,4516
+,9541,3485,7502,3988
-,918,0,0,0
-,83,0,0,0
+,2359,2898,3570,4829
+,4524,7658,7588,2498
+,3570,4568,8232,852
+,6539,3110,48,8222
+,2007,8173,7839,1857
+,2583,9962,5012,8378
+,8178,3439,3409,3293
+,5435,6685,8072,6089
-,513,0,0,0
+,1080,2381,4170,6624
+,7586,3034,3252,5433
+,6490,4051,8851,5935
+,9000,5708,3311,3573
+,1392,9873,4048,1466
+,5463,314,2612,2656
+,3080,3094,2528,7152
+,5690,1446,8922,3048
+,2753,4499,4653,4866
+,2464,6044,7853,69
+,5259,4050,5687,7128
+,8724,8921,4758,3216
+,1893,8695,9272,6255
+,3705,6713,1376,5391
+,1017,3582,6286,5652
+,8731,5605,7206,8612
+,8813,7573,9995,7806
+,8399,5461,6782,1885
+,5670,9102,4109,146
+,7421,9778,7468,6873
+,9950,4853,5465,3807
-,521,0,0,0
+,7277,7743,5283,9389
+,9792,412,4856,8725
+,5222,8447,623,1098
+,3603,2196,7456,7793
-,453,0,0,0
+,8379,2349,3672,2486
+,2107,6004,5263,8379
+,3199,407,2244,4023
+,240,8208,2546,5485
+,6984,9473,2666,6820
+,5085,2395,4065,9401
+,1928,851,5630,7399
+,7288,4841,7298,1727
+,2331,2097,2289,9312
+,5766,9719,4574,7114
+,7096,3066,643,3316
+,9788,6507,3167,2511
+,5048,1022,9223,9069
+,9379,4790,452,8502
+,5761,758,1192,7637
+,7587,2059,211,5860
+,7556,6050,1873,6390
+,6238,1618,7521,2453
+,7896,5672,487,7092
+,8330,3264,2546,3878
+,4702,4000,1025,2371
+,338,4410,9146,5138
+,4382,7996,7377,6825
+,5895,2947,4999,5332
+,9835,551,3243,8246
+,6316,6151,3486,7196
+,6051,6189,3754,84
+,5732,3392,1844,7264
+,8307,7950,8977,7155
+,7494,5722,2473,3309
-,211,0,0,0
+,849,2516,7847,3417
+,5297,7,7389,8660
+,2471,6659,6889,7537
+,9149,513,1072,1354
-,263,0,0,0
+,1552,5186,4318,8243
+,5736,3427,7893,2013
+,554,1017,9602,6847
+,8219,2783,9406,6972
+,9114,8910,8033,1951
+,8887,9855,1148,1995
+,7970,3244,3371,5479
+,9829,2097,2978,160
-,307,0,0,0
+,1709,1095,8105,509
+,6807,2376,2972,6181
+,7331,2724,5275,1497
+,2637,7888,9833,5947
+,1998,3605,2156,329
+,1945,1353,9043,4604
+,9783,7784,7511,9910
-,174,0,0,0
+,6100,7282,4277,6382
+,6872,9204,9377,9084
+,25,5859,1474,4402
-,422,0,0,0
+,1568,5481,9512,8271
+,122,5086,9841,2479
+,3050,5121,4153,4539
+,9995,3241,2135,8258
+,2652,5778,905,1599
+,9521,6008,6975,98
+,5936,7322,7804,1951
+,6839,9082,8373,5990
+,8673,7118,1451,7795
+,7112,8803,791,5605
+,8798,2841,605,6999
+,1433,1468,6716,3952
+,8768,7127,3223,2099
+,1586,8043,5005,3661
+,757,8572,5729,4612
+,7662,8687,8260,8138
+,2024,1555,6191,5603
+,250,4667,2944,5172
+,6362,1751,2442,3574
+,1280,6049,7684,8045
+,9120,529,4299,6542
+,2842,6692,5642,2545
-,909,0,0,0
+,1981,9825,9553,9223
-,673,0,0,0
+,9491,1585,5044,335
+,9407,4933,7507,427
+,5340,5015,3261,7566
+,9374,7234,3289,3036
+,1274,5954,7535,2742
+,6166,6119,7468,1006
+,8104,5174,9529,2838
+,6433,956,3188,359
+,6757,9966,1110,8558
+,7428,1668,1414,3848
+,1328,5584,1210,9371
+,8627,9966,3859,4231
+,3285,9021,1231,9129
-,556,0,0,0
+,6801,1947,4318,8635
+,4641,2083,4957,8276
+,5354,6283,9865,1072
+,5149,8391,1448,2505
-,900,0,0,0
+,3701,1721,9506,1719
+,7124,6250,8862,788
+,5676,969,7533,572
+,3393,9662,524,648
+,6595,3959,171,6398
+,5556,7581,3911,728
+,6036,714,7965,7175
+,2487,4653,2546,590
+,5393,2551,6265,7115
+,3082,8,2013,1111
+,3499,5566,2972,8911
+,1614,805,9032,4110
+,7458,7054,6999,579
+,4276,802,1114,8229
+,809,7501,4341,9489
+,6761,59,8766,7771
+,1702,2192,385,9398
+,6620,2144,9488,6501
+,9975,1262,3623,5140
+,2903,5574,9271,6929
+,4855,2084,3396,3676
+,8034,1379,4909,4280
+,3627,9838,846,4781
+,3678,9158,9111,7090
+,4406,6301,9335,936
+,9839,7215,9478,4924
+,4639,7976,4566,1216
+,1740,1475,2767,9303
+,9624,149,4948,5691
+,9699,7201,2987,5898
+,5972,3403,8717,970
+,4571,794,1780,3958
+,6418,9247,7383,562
+,608,289,9243,3695
+,2157,4403,7490,2268
+,8091,5464,3680,2545
+,7672,690,2669,9339
+,5072,3587,644,42
+,5328,1312,9687,3062
+,3624,810,679,261
+,9868,6324,3610,8647
+,5831,206,4690,9977
+,4782,2369,8377,9003
+,8221,8880,1851,6406
+,5893,6369,4446,1979
+,9274,46,2910,7510
+,1910,330,9412,9249
+,3696,2689,2153,4448
-,724,0,0,0
+,2079,5058,7435,3816
+,7047,9510,5457,6262
+,3703,7820,1168,5390
+,8560,1152,2482,804
+,90,6024,5992,799
+,8457,7184,1789,8222
+,9182,3354,6306,4770
+,1471,5869,1188,7698
+,9914,5779,2087,6080
+,9850,6682,5904,6995
+,6323,325,4894,8230
-,722,0,0,0
+,5188,4812,9662,9982
+,5240,8083,4313,2494
+,6750,9791,1444,2588
-,128,0,0,0
+,6947,8976,7536,3707
-,338,0,0,0
+,7206,5924,3925,7205
+,7853,8866,8726,5157
-,509,0,0,0
+,9928,4162,3149,3183
+,2859,5549,9331,753
+,4214,6779,4307,9857
+,5270,9290,854,1928
+,5289,2248,2743,4568
+,5162,1436,2469,3477
+,8099,6365,1567,8782
+,9474,4263,2831,3698
-,395,0,0,0
+,6388,4624,7408,5039
+,4737,2015,6542,3923
+,4194,6876,1757,1893
+,5734,4314,7541,380
+,8289,7329,1147,2192
+,1790,5396,3103,498
+,3988,1132,5488,1878
+,2108,3755,1772,4454
+,1772,4793,6012,8152
+,7238,8646,4520,5952
+,1090,1931,4963,2145
+,8761,4637,5087,1990
+,2677,7016,5592,7052
+,6191,8268,2937,6803
+,680,6179,1778,8892
+,8823,4208,3594,6341
+,6500,8026,8052,8441
+,6829,1627,2234,7915
+,678,3314,1331,8077
-,999,0,0,0
+,835,5707,499,5103
+,8659,394,3026,9451
+,6104,6986,6131,2597
+,5502,2564,3638,4409
+,1793,7470,6989,2418
+,7374,6845,2538,1924
+,6373,903,6297,7881
+,8733,4422,796,8797
+,9625,3527,4450,3397
+,5409,5080,9570,8550
-,594,0,0,0
+,4719,2868,3570,7964
+,1107,798,8739,6794
+,235,2040,2845,8655
+,7340,9286,1489,9191
+,8590,3218,7738,9514
+,5649,7867,7498,1612
+,8477,7872,7800,867
+,5731,3332,7096,1728
-,103,0,0,0
+,132,5252,6825,5282
+,6401,7892,3333,666
+,2226,2013,1685,3414
+,4868,2748,4719,7207
+,4022,1104,465,3611
+,3142,60,1694,1860
+,7743,2241,2985,1428
+,4820,5110,8504,207
+,8328,6904,7398,3025
+,4645,5874,2800,106
+,6486,3876,1534,2582
+,3507,7520,5360,4429
+,1983,372,471,2408
+,8290,3533,1448,2260
+,6456,7510,4218,3402
+,7734,31,4567,5627
+,1123,7190,6681,2967
+,9778,1486,4943,9494
+,1900,2641,4248,6442
+,673,9644,5882,1344
+,5565,3659,9044,3388
+,8514,2730,5923,8994
+,9814,3031,7683,1577
+,4478,470,994,4772
+,3114,5694,8875,3261
+,4966,9563,2995,7348
+,4083,2944,7094,2953
+,2918,5101,9393,8872
+,2006,408,1223,4299
+,4781,2592,5763,6945
+,7092,8259,4376,3716
+,998,1111,4620,7231
+,8680,9848,3349,80
+,2457,9960,6791,8003
+,1115,1477,2458,4114
+,5982,4887,9404,2811
+,9324,3118,7463,7029
+,5467,5370,7008,1643
+,973,6335,9335,6951
+,8023,807,1124,2216
+,6848,5967,6938,6352
+,8020,2151,4585,3089
+,4803,8167,6825,317
-,404,0,0,0
+,3724,8338,5215,1513
+,7529,7331,8166,602
+,5871,1355,7755,2018
+,1270,4337,793,4224
+,1180,5950,5966,5367
+,9574,7019,3389,9082
-,818,0,0,0
+,4854,2570,138,721
+,9078,9679,268,3848
+,6756,9051,1332,1526
+,4351,4640,4402,5726
+,5276,1956,4565,5529
+,7904,8085,4557,9713
+,7795,1218,8183,4652
+,6720,2160,2014,6580
+,7330,892,5395,6692
+,6566,8962,6425,8392
+,3672,388,8087,5039
+,2035,110,7449,5920
+,530,1274,3318,8343
+,4754,3425,4581,5935
-,647,0,0,0
+,971,6698,685,6879
+,3097,8670,6020,3540
+,7456,5226,6754,4575
+,81,9288,5400,6936
+,6919,4876,2042,3231
+,7138,2614,2198,8654
+,7968,2526,7170,5672
+,8022,3774,87,1943
+,8641,6494,8693,5709
+,7414,5481,146,2855
+,4085,2077,2011,9716
+,4025,9122,1798,7145
+,1582,9468,523,5640
+,5434,3635,7074,8959
+,9327,712,4337,8550
+,5119,5740,3366,2665
+,7936,648,3928,2676
+,7534,1242,2765,8068
+,4804,6184,7759,8162
-,948,0,0,0
+,629,7879,941,9541
+,9247,3405,6201,3063
+,2537,7252,1767,1849
+,6107,2355,9346,3645
-,783,0,0,0
+,7965,8535,4140,975
+,3257,7905,9796,3318
+,1449,4198,2722,2230
+,4920,2371,3082,104
+,4311,7040,7535,2125
+,5750,826,5509,6249
+,1271,4734,7768,6590
+,2548,3757,4872,9775
+,6594,945,5505,1914
+,3351,8883,3145,9921
+,6687,3149,7184,4225
+,311,1636,1264,2240
+,2306,2185,4059,4439
+,4664,5453,5587,245
+,7163,225,9352,5253
+,7890,6396,7461,5045
+,4090,4704,1845,7997
+,5691,3235,2623,9015
+,7293,2514,1300,5745
+,9435,1629,7599,5797
+,7140,7755,3764,9302
+,34,3885,1236,1685
+,3203,6930,5846,5238
+,1341,8240,2311,6839
+,5800,5663,4133,6462
+,5909,832,5768,3181
+,1371,9479,9615,3485
+,1049,6343,8514,4090
+,9605,3031,5312,7455
+,2884,2368,5463,2637
+,67,633,9348,6976
+,1197,5721,888,5611
+,259,9772,9214,3537
+,9152,4550,3576,4593
+,7094,9130,7488,4382
-,191,0,0,0
+,6591,4898,3527,9310
+,2408,9784,2296,748
+,9677,8022,7234,6293
+,8123,9655,2985,5167
+,3044,1397,2369,4210
+,1766,9634,8983,1758
+,1692,9975,252,3846
+,2060,2283,3643,6828
+,9471,4713,1943,4373
+,1444,1373,8478,7380
+,3025,9723,9045,1726
+,9056,5287,8186,258
+,9613,7189,9436,5562
+,3665,7147,2260,8272
+,525,4416,1820,1191
+,9838,6602,6486,2727
+,1570,564,6555,3982
+,9551,3931,4639,8035
+,9260,6797,3119,5433
+,9399,9224,9385,1092
+,4366,9766,6193,2376
+,1606,7640,2996,8399
+,7439,3179,1576,7646
+,8569,8453,9865,9210
+,8475,4235,8820,6097
-,141,0,0,0
+,6656,9467,3519,3606
+,7542,8158,7543,6675
+,4284,8825,7323,9942
+,1871,9338,8295,8994
+,4442,1491,1494,8563
+,2402,1910,954,9468
+,2873,1127,9368,8275
-,973,0,0,0
+,6683,7663,1886,2342
+,1362,7023,7009,8851
+,7823,939,146,5638
+,2684,5998,1085,2106
+,9332,534,5430,4249
+,6499,7517,943,3402
+,8949,904,7633,5968
+,219,227,2669,1692
+,4826,5123,710,4124
+,8717,4671,4380,776
+,3556,3723,4699,4874
+,7537,3813,8812,5711
+,8900,791,4040,6529
+,8581,3857,3384,1277
+,8517,9787,9536,808
+,7517,5660,443,5187
-,920,0,0,0
+,395,7352,1349,7127
+,5047,2154,8400,7855
+,5900,4626,9058,985
+,7408,2172,496,3240
+,3829,7244,9085,5727
+,8348,4482,8562,5832
+,8605,183,4402,5203
+,1703,4158,3582,7920
+,9540,6008,1765,6285
+,8149,8557,3961,6033
+,9231,6102,6794,3290
-,393,0,0,0
+,173,5048,4059,3873
+,2189,9836,4539,674
+,1899,287,4292,9648
+,3012,1394,7843,8427
+,147,6569,5473,7974
+,1299,6263,6044,1186
+,5659,5745,5659,4788
-,51,0,0,0
+,4412,4688,6121,2982
+,5232,5080,718,1666
+,7797,9462,5575,5595
+,633,768,6590,6075
+,3020,4862,9439,6630
+,8242,5198,1889,416
+,2998,3761,8435,1364
+,6904,6340,5304,826
+,1452,7576,3894,1
+,6864,4426,8637,3766
+,9285,1813,491,1182
+,3456,175,4666,7319
+,8642,8801,6103,6950
+,9833,3645,8819,5582
+,7042,9132,7145,8432
+,6236,2054,3680,1760
+,3786,1964,7032,9732
+,5805,7056,892,6499
+,1506,8274,9877,1050
+,8356,9423,2961,679
+,8985,6242,4734,39
+,6662,912,4011,342
+,462,4666,6257,7079
+,4165,1085,5554,5725
+,2333,8931,8166,8369
+,3992,7818,1886,9352
+,8420,3529,1646,3538
+,8216,1683,3856,4791
+,6501,78,9416,4760
-,722,0,0,0
+,3214,2561,9606,7646
+,1246,6082,7039,6124
+,8907,5921,4461,7457
+,1641,2727,8048,6047
+,7284,7163,9400,7600
+,84,4906,2324,4299
-,305,0,0,0
+,6184,9192,9586,2019
+,3374,5344,9264,25
+,9340,4430,6229,3428
+,2950,3639,156,6425
+,3368,2049,8775,1141
+,1411,508,2274,389
+,6283,3351,8627,8747
+,7801,2312,8198,9321
+,4661,6341,3757,1833
+,9506,7567,8584,9696
+,3241,1539,1045,5599
+,3094,1776,1990,2863
+,8199,2316,9632,3920
+,4962,382,7116,3108
+,9008,5486,8874,413
+,2130,1030,1326,6393
-,904,0,0,0
+,5101,7629,8387,813
+,8770,7619,4465,5334
+,2460,1275,7079,8896
+,7144,4737,5071,5760
+,8303,121,6070,1912
+,2280,7031,5777,7231
+,8372,3996,8152,2205
+,2936,980,3519,5827
+,279,8357,3866,2270
+,7643,4943,8152,7982
+,5006,3177,1712,4284
+,3884,6426,8518,7466
+,5854,1245,4577,7487
+,366,2742,2751,4740
+,5804,3515,8999,4252
+,8983,5701,126,1479
+,7275,4805,322,2061
-,80,0,0,0
-,658,0,0,0
+,2128,4746,3099,9539
+,6693,241,494,6667
+,3176,2540,4242,908
+,9669,8762,642,8074
+,3826,9487,5638,162
-,560,0,0,0
+,2455,1134,4662,399
+,2456,5535,4955,1320
+,7911,4589,457,7230
+,3630,6709,6926,3936
+,1316,6260,8647,5806
+,9879,703,9444,4489
+,8530,2538,8757,4378
+,6159,4189,7510,6798
+,223,7901,530,4108
+,1792,8336,8339,5241
+,8707,5652,4460,2966
+,8538,4383,6139,120
-,993,0,0,0
+,1490,6232,1857,8048
-,945,0,0,0
+,8618,7467,5769,6614
+,6045,5785,333,2175
+,651,2757,6193,1032
+,838,5968,316,2290
+,8842,4578,3171,3494
+,4973,5050,8855,3201
+,1931,4644,712,7145
-,484,0,0,0
+,515,5931,2754,6946
-,635,0,0,0
+,507,5373,6477,1105
+,9871,8447,5233,1766
+,1672,9448,1661,1577
+,2275,4033,4890,1488
-,30,0,0,0
+,4470,3463,7330,9199
+,3494,6717,3074,8997
+,1992,4203,502,1530
-,956,0,0,0
+,2379,5457,1624,7089
+,1025,787,181,531
+,3071,8094,167,7897
-,31,0,0,0
+,7639,7920,5588,1428
+,5703,1416,7078,4108
-,508,0,0,0
+,5128,4116,8442,1299
+,2541,8920,2495,4171
+,3316,6187,7555,3444
+,3783,6812,2691,2141
+,829,501,4379,1054
-,450,0,0,0
+,3608,6328,711,42
+,5025,961,3081,387
-,928,0,0,0
+,9917,4854,2587,451
+,4185,4425,3417,9964
+,5790,8547,7362,998
+,5058,3267,698,5431
-,185,0,0,0
+,2427,4573,2815,6762
+,5065,5171,1234,9285
+,247,2047,9480,3476
+,5310,2382,9851,4440
+,8756,844,6705,7283
+,3553,8553,6537,8809
-,81,0,0,0
+,5825,8189,7197,6434
+,4174,9256,2047,8046
+,443,4696,6447,3254
+,685,5630,5780,6617
+,1252,4032,664,355
+,2251,9498,5884,7424
+,2312,8645,2567,2573
+,3123,1522,8242,6293
+,7609,3836,3930,8396
+,6122,8202,8698,7839
+,7067,3318,1727,9176
+,1407,7981,9533,2762
+,4703,8764,9714,2252
+,1048,86,7902,4180
+,5521,9956,5859,6556
-,307,0,0,0
-,232,0,0,0
+,6623,5733,1744,9006
+,8151,4706,5849,4536
+,6380,1305,7188,9764
+,7652,6634,2065,3366
+,2245,2117,5378,6672
+,3093,2679,5810,197
+,9697,1294,2152,132
+,9573,2370,5168,8497
+,3132,2339,4765,7094
+,3276,1705,1872,9182
+,780,5717,4881,9274
+,5051,846,673,7186
+,7475,1878,2681,427
+,7900,9072,9075,9807
-,935,0,0,0
+,8535,2060,8662,5813
+,1367,2920,7474,8885
+,106,6766,2817,7160
+,205,3534,4857,5565
+,4440,1326,8008,3060
+,7420,3405,7351,6899
+,8616,2667,269,7933
-,520,0,0,0
+,8314,6247,341,4364
+,2165,8989,1519,9993
+,6610,9147,1359,449
+,4638,293,8246,590
+,3836,997,1856,9972
+,3689,2573,8818,3872
+,1228,2952,3780,2861
+,3371,6254,7495,7584
+,8092,5548,7359,2573
-,282,0,0,0
+,3417,4935,5388,4018
+,4865,6385,5651,9265
+,7521,1576,9586,8843
+,4934,8397,7148,8699
+,3336,7335,5283,1353
+,7483,7237,2909,3781
+,4720,7159,8333,7106
-,949,0,0,0
+,7471,3982,487,2494
+,8238,1601,1029,2319
+,5217,8538,2335,7309
+,9884,5027,4916,511
+,1035,9459,6531,2518
+,2831,4816,207,220
+,9780,1414,2824,5268
+,8545,6689,301,5928
+,4373,8860,3395,2387
+,4921,9189,7048,3622
+,8551,7474,4696,4349
+,3584,6891,7526,1511
+,8127,6925,3226,3470
+,1916,119,6212,8452
+,8506,9130,1352,9217
+,9306,6398,1931,1620
+,5490,1558,7378,805
+,3335,4032,517,3060
+,6536,9202,3437,436
+,8197,8213,9908,7019
+,2846,5000,8406,3727
+,1822,7032,9487,5607
-,589,0,0,0
+,8690,6402,8514,8672
+,9880,9688,2935,8581
+,1913,6289,3276,3811
+,9641,16,3049,7145
+,2843,4118,6328,9164
+,3443,2083,865,1355
-,512,0,0,0
+,9790,7739,5589,6937
+,6528,1444,3726,5004
+,502,1377,5217,1691
+,1941,2997,9497,1405
+,5591,7013,8191,3319
+,6315,5904,7330,7912
+,2849,925,4942,3992
+,1348,5478,3177,4717
+,1512,1194,5178,8476
+,3996,8079,1841,5313
+,6131,5498,9540,995
+,3716,8852,7584,760
+,1281,3960,7903,5965
-,365,0,0,0
+,778,6859,7872,5770
+,4885,5992,2528,2917
+,6472,9493,3845,3049
+,4171,7455,7738,5941
+,8082,628,2779,3786
+,9183,5673,3086,413
+,9608,6056,3107,7313
+,1360,7185,9636,8545
+,4595,9836,4771,7458
+,6028,5997,8891,8914
+,5182,9379,2918,8664
+,581,664,9817,2805
+,4697,1251,4085,9676
+,1326,5555,1124,2789
+,6969,8822,6771,6537
