OP,A1,A2,A3,A4,A5,A6
+,9436,7581,3230,2414,6921,7500
+,3786,8246,3615,9724,8578,910
-,119,0,0,0,0,0
+,5521,51,1780,2786,8285,4314
+,1907,7134,5838,4485,874,7586
+,6057,2820,2305,5986,3910,226
+,3816,9256,775,6011,5244,3062
+,4294,4536,6164,8819,4798,7335
+,6097,4630,6441,4807,8717,4938
+,1226,9045,4540,8731,198,2020
-,861,0,0,0,0,0
+,2812,2347,1863,6868,6822,3655
+,5049,2340,5156,6972,4998,9800
+,7095,7220,3823,5997,1862,3013
+,3783,6821,6947,9373,6968,3154
+,8434,9660,4281,5866,6132,6080
+,3614,7565,9832,6709,6383,8644
+,9820,2748,1748,302,4430,5368
+,9701,767,9692,8883,6820,55
+,2157,1555,4554,9570,4572,8444
+,2576,9975,3092,2448,1802,449
+,4762,663,5549,7618,3273,8811
+,1230,2317,4456,783,3143,2639
+,5031,2982,4742,4998,8203,3920
+,2478,5406,8423,2782,4327,5659
+,4806,780,9881,4629,647,8645
+,4738,1677,707,315,6292,3879
+,1338,2243,6443,2840,6139,7618
+,276,2098,8344,7051,9161,3553
+,5533,9032,8574,6719,9585,8662
+,4494,696,6583,9600,5398,8013
+,7762,6274,7275,2918,4381,8626
+,9837,5273,8239,8500,6850,1244
-,186,0,0,0,0,0
+,8968,983,8937,5371,2029,5412
+,4641,6497,4076,6285,118,1295
+,3677,7960,6604,5466,9585,7116
+,4788,635,7163,5156,4524,2008
+,9901,1791,2715,9951,6770,6599
+,4006,5348,5964,3553,2247,6387
+,3939,2179,3956,789,242,2805
-,820,0,0,0,0,0
+,5617,3228,6172,4312,7906,6260
+,1563,6646,338,8760,7764,2206
+,478,2674,3977,6858,146,2223
+,3799,1146,478,3357,774,5421
+,5021,1729,2453,2162,2257,7229
+,8238,4624,9061,667,8657,1574
+,4317,2460,7474,6437,9554,1563
+,7824,50,2937,8129,7172,8210
+,3469,6330,4895,9898,8416,8109
+,2029,357,2132,47,8934,7077
-,913,0,0,0,0,0
+,3973,7224,437,9728,515,6813
+,753,8965,2950,2466,9628,2028
-,940,0,0,0,0,0
+,3864,7592,3061,990,3895,6646
+,4607,3040,3910,9838,1079,9361
+,7680,6637,3280,365,3461,9946
+,9791,9115,5713,7485,3287,3845
+,3992,4728,2051,249,5422,3458
+,5549,6871,5603,9579,6198,5300
+,3560,7862,5922,420,9407,8910
+,8566,3889,4630,6547,7639,2682
+,1806,8832,7667,9306,3167,955
+,7876,7389,6316,235,6470,5620
+,282,7590,3070,1884,820,7537
+,5769,9845,2071,290,1608,476
+,5415,6937,3698,3523,519,8455
+,9623,9728,1079,8588,7477,8346
+,4606,5918,7622,2551,7441,241
+,7496,3755,6280,5130,800,5998
+,845,3762,376,9505,7889,3558
+,3067,5194,4328,9564,1090,8226
+,8949,1299,5800,28,7879,3324
+,6493,7400,8133,725,5910,6315
-,879,0,0,0,0,0
+,5844,8103,6881,6179,2565,2846
+,1254,3864,5084,812,4148,7342
+,8391,5015,4173,4652,6767,9449
+,3617,8723,1649,140,8789,7735
+,7494,831,9102,2794,3590,6646
+,6088,3162,3326,627,4623,7465
+,9066,4592,7932,6923,8033,6950
+,5136,3009,8487,7036,5267,6943
+,1174,380,2040,8461,3417,4190
+,1346,9059,3768,1490,9378,4767
+,3055,2441,1778,5187,7435,730
+,9941,7918,4185,1580,3366,137
+,8852,9983,3840,1924,3111,2764
+,2555,4882,5652,4177,3539,3386
+,8681,9963,1185,2590,6625,7756
+,3628,6525,305,7855,760,1949
+,2041,7232,4375,3959,4681,2539
+,8854,4782,1548,337,9776,2076
+,2011,4025,5435,680,9190,1139
+,8696,2047,8027,6315,8900,4123
+,9007,2370,8397,6683,6782,3743
+,1135,4367,1569,9357,4190,8682
+,5965,7846,2608,8450,4376,3881
+,4437,4465,8606,49,139,6708
+,1124,9522,1046,2256,3426,4556
+,4501,9598,1141,2690,5796,5645
+,5740,6908,4461,5289,8581,5119
+,4697,5996,2470,2783,717,8509
+,1073,8375,3624,9805,1998,3910
+,9940,8187,9248,6764,7647,6281
+,6324,2206,9770,1531,2873,1134
+,8664,5170,3594,6396,203,1880
+,9885,2585,3760,2445,3676,645
-,825,0,0,0,0,0
+,6601,7016,8872,5196,1979,7903
-,995,0,0,0,0,0
+,8012,4611,1129,1493,4005,7025
+,5577,8497,4116,182,981,9978
+,2879,8198,1880,7910,7392,6915
-,366,0,0,0,0,0
+,5380,9837,246,6568,2813,2843
-,350,0,0,0,0,0
+,4386,8333,8771,3007,6709,6755
+,3595,6088,517,1318,4518,1201
+,2886,5609,757,7122,6067,8230
+,1266,6825,3362,3204,7300,2248
+,4419,5015,4994,311,1621,6069
+,7665,7242,9980,6429,4499,752
+,1279,9753,8383,1875,3064,205
+,5677,9753,2157,4547,7596,1542
+,5532,3700,8456,7701,5035,381
-,271,0,0,0,0,0
-,442,0,0,0,0,0
+,1730,4808,1987,3885,158,8353
+,5167,5801,8631,9932,8181,5406
+,1333,5446,7243,5453,4160,8103
+,5957,3975,522,9348,444,8012
+,574,2791,1887,3165,57,7458
+,9090,3919,9618,8903,8720,3053
+,9538,5522,9003,3910,9669,5460
+,7439,5724,4912,9260,9071,5252
+,2686,6147,7740,7098,1808,3861
+,5980,504,1602,6024,967,9496
+,3135,1674,947,6095,2693,6228
+,6774,1605,4970,5207,3747,6271
+,5827,7958,2514,1960,4369,1272
+,7899,9057,7345,5937,5718,2095
+,3032,5176,6476,868,8097,5546
+,3213,3870,9515,1911,8679,6624
+,4649,2355,3715,3329,6618,867
-,663,0,0,0,0,0
-,470,0,0,0,0,0
-,697,0,0,0,0,0
+,8801,850,8070,3827,735,77
+,8348,2264,1321,4311,9161,6606
+,5995,9870,4204,4495,682,4909
+,9012,1354,7476,5909,5763,1915
+,1190,8800,3288,9047,4853,6019
+,3606,6799,8138,2392,7131,8148
+,1662,4172,3301,2425,6677,1656
+,738,810,7218,9459,3266,6162
+,6185,4096,8414,5675,1541,494
-,992,0,0,0,0,0
+,8840,2755,338,8870,7900,8519
+,4197,8898,1153,2015,6886,8171
+,8518,7959,2490,835,8090,8069
+,1635,6677,7769,8445,6185,528
+,3671,8282,2841,5031,6596,6110
+,3518,8708,7022,9598,2314,9548
+,2601,8841,8342,182,6324,1863
+,5078,6115,2898,2709,6106,524
-,340,0,0,0,0,0
+,1793,9472,5619,3688,4245,6388
+,5359,3273,8272,367,2874,3150
-,601,0,0,0,0,0
+,4882,5126,9317,8110,686,6974
+,2713,4940,339,4304,2683,398
+,3718,8808,9551,2480,9835,5834
+,2552,1975,3478,9622,6401,4463
+,2752,4995,9077,1534,6498,3204
+,5174,3396,6732,4371,3559,1012
+,972,9640,571,7704,8243,2584
+,514,2540,572,3440,7278,468
+,9621,7473,7297,3526,2108,7788
+,7211,3893,2195,2305,8293,2524
+,6454,616,6015,5664,5835,1159
+,7264,5767,4879,6535,8824,7487
+,905,8192,7504,1724,744,7674
+,7822,2874,3426,3877,5146,7339
+,4363,3932,9975,7156,4305,5672
+,1903,8301,6001,4613,7887,8434
+,3050,1148,5369,2170,1754,2103
+,5927,8081,4853,5692,7796,7827
+,1573,1242,954,1666,4261,7281
+,6113,3669,9913,9055,4926,4659
+,5264,845,594,5305,3831,3855
+,9260,2668,5093,258,7543,9490
+,2665,6694,9418,7993,9348,9052
+,9361,1732,3784,9220,669,2485
+,592,560,5587,5055,4476,1964
+,1318,8285,6383,5723,3075,6205
+,4484,9674,3479,6354,8640,3597
+,8230,4298,4318,8476,9806,3219
+,1785,9155,2193,3764,1764,5968
+,1289,3839,3785,8386,7165,5039
+,2180,1137,3588,7283,9962,6939
-,848,0,0,0,0,0
+,7360,4547,5098,6456,4739,2845
+,169,3250,4759,3307,1217,9020
-,97,0,0,0,0,0
+,5229,3853,3237,2905,9884,856
+,7080,3491,1328,539,252,7291
+,752,7147,363,9368,1813,8640
+,9015,2607,2256,5439,7240,1950
+,908,1242,5124,8350,1070,8749
+,5871,4410,9108,4069,3696,451
+,7912,5153,4050,174,8291,3785
+,7640,6788,874,5061,5919,3097
-,61,0,0,0,0,0
+,5983,7532,1873,343,7909,6065
+,3923,987,9681,9489,7965,7060
-,137,0,0,0,0,0
+,5528,2484,2556,5819,4244,9921
+,6069,7050,4014,896,3895,6864
+,6159,2485,8449,9847,512,7133
-,409,0,0,0,0,0
+,4417,2109,8347,7199,1493,1098
-,99,0,0,0,0,0
+,2932,7419,4001,982,2148,263
-,766,0,0,0,0,0
+,2533,2472,6819,685,7657,779
+,4951,7353,8448,6346,2568,233
+,1031,9590,1494,2215,1194,852
+,1774,8911,7325,5954,320,6293
+,8308,4395,8943,7435,1227,40
+,1913,7969,2434,968,487,4609
+,4373,5951,2117,1534,7392,940
+,5882,3826,7274,8231,6944,5032
+,3153,7573,9613,5408,4469,5083
+,7485,1042,9606,4570,2008,1226
-,705,0,0,0,0,0
+,2001,6298,6457,9415,4318,8503
+,1847,9816,238,6525,1260,9763
+,7652,2537,532,8665,8118,4840
+,7692,1189,2552,9240,2628,9748
+,7562,8102,6163,8403,7379,3135
+,8736,7088,7069,600,2540,3487
+,6229,6820,3127,1733,7375,7734
+,1720,5731,2011,9637,7875,1211
+,9549,2619,7690,2139,5497,1753
-,0,0,0,0,0,0
+,2218,6284,6853,2065,8962,7859
+,3997,1238,1929,3546,192,3161
-,330,0,0,0,0,0
+,2109,6288,3734,9732,4685,8657
+,5897,9606,3368,1327,6725,8563
+,6318,4080,9305,5507,7735,9064
+,5040,2324,5869,3794,1089,564
+,1583,3619,9360,566,1618,803
+,5297,5648,8983,8773,5902,5612
+,3353,4001,8512,8803,4162,8789
+,5700,3502,3490,377,5285,6445
+,618,4573,4535,6177,7209,1981
+,9973,2423,6762,6411,6935,6568
+,7289,2427,5755,6155,6777,3463
-,834,0,0,0,0,0
+,2677,4247,3633,4046,3887,7684
+,8967,5706,1002,9434,1305,9991
-,883,0,0,0,0,0
+,6861,7368,7752,6279,8487,7811
+,358,4825,4846,2023,3816,1933
+,9600,6357,8157,6054,5292,3699
+,3917,108,6821,9647,572,8548
+,1636,5487,312,2395,508,6382
+,8904,7869,6176,2244,5981,424
+,7212,7323,3938,2387,6456,8896
+,2609,2620,2970,3123,3389,225
+,5736,3581,6140,6082,6198,9340
+,5210,2318,4108,5137,7686,4547
+,7331,1998,8044,4754,6957,9292
-,170,0,0,0,0,0
-,982,0,0,0,0,0
+,8902,8054,1779,7963,7920,2996
-,996,0,0,0,0,0
+,500,1876,9494,68,7244,7181
+,721,4857,2034,6818,7225,1202
+,3904,4077,4793,9268,8945,263
+,7918,3830,7967,512,2772,6908
+,4228,2363,1795,2144,4734,6247
+,1241,9549,4278,1230,5871,9284
+,6202,9830,8997,9744,2764,8386
+,4281,6813,2594,3164,8422,666
+,2490,8210,2832,6624,2393,1949
+,4176,4715,3548,8420,4577,7092
+,9032,9538,2235,8448,6072,939
+,6682,1667,1095,7652,5129,5686
+,9047,1797,1757,6064,7527,433
+,9890,1759,5227,9955,2582,2586
-,737,0,0,0,0,0
+,8342,7812,1778,320,5376,7385
-,987,0,0,0,0,0
+,1791,5987,3681,2555,4669,2708
+,899,5351,8626,9630,5212,2186
+,6145,1928,6058,3768,3040,6220
+,3471,1670,6260,8564,8598,5694
+,6343,808,4745,6362,3463,7780
-,547,0,0,0,0,0
+,8109,1060,5812,2772,5722,6461
+,8894,7956,327,6029,2253,9916
+,2891,6295,687,3135,5202,1650
+,2834,1218,4491,2835,539,4099
+,3473,9208,2383,8370,5891,2774
+,6525,9972,6184,8852,3295,150
+,5041,8493,565,4788,7268,3102
+,7157,9780,6217,9236,9940,3328
-,655,0,0,0,0,0
+,5546,1892,6547,4839,2617,3770
+,9937,1169,3683,6827,5962,5328
+,1527,5385,9288,9677,3414,2137
+,391,2187,2231,8885,3578,5949
+,6553,5014,7273,2867,4597,8832
+,5555,3906,8033,3078,3376,3274
-,160,0,0,0,0,0
+,4081,7691,3237,3266,8861,8761
+,7907,3722,1458,1858,7283,7024
+,426,8419,6737,5167,4849,1341
+,5291,5632,7587,3338,5744,9971
+,3577,3214,2864,714,9480,8147
+,9440,9392,9212,3067,4771,3387
+,8721,2742,6717,5552,1604,3610
+,3994,5162,6082,2656,6035,4385
+,2500,2969,3444,8198,2801,6208
+,7694,9918,7283,5350,9341,5662
+,9920,8479,9470,3622,5407,6292
+,5017,1171,2229,1562,310,4112
+,942,3823,9942,5652,8593,2550
+,9743,4922,7930,5704,1673,5444
+,5185,9963,5687,6339,4397,8432
-,273,0,0,0,0,0
+,3974,1178,3855,7886,74,7982
+,8440,3020,2805,1917,856,3802
+,7524,8066,4622,4720,4617,4724
+,9746,3250,4680,118,5106,6078
+,7013,7868,2268,6847,6268,6135
+,2238,6476,6527,5380,4927,9226
+,700,1724,4560,9175,8014,8676
+,692,6042,6345,6500,5953,3611
+,4772,8126,9348,8478,9034,3438
+,3855,9259,7473,7930,2541,9355
+,4893,4071,8485,7980,7095,8095
+,1504,5142,5232,2646,9091,9351
+,6704,2957,3328,9562,8634,9478
+,5829,1626,4117,7670,3494,9195
+,2734,8553,5215,3233,2836,2080
+,4768,4058,2201,7834,8131,5028
+,7319,7108,3218,6751,9591,6810
+,4545,3844,7736,5556,7465,5126
+,1340,1655,8086,5048,5898,7666
+,8535,6802,7924,1534,1339,6588
+,2071,7761,150,9530,4166,2054
+,1386,6442,1026,1689,3394,6010
+,3969,1015,1744,5640,7227,7134
+,7007,2811,737,1970,4070,4714
+,9884,4386,5549,1418,563,4569
+,1932,4775,1197,6226,7838,1201
+,5936,4997,7877,7918,8535,1227
+,6234,3330,8009,5304,108,5739
+,2759,5842,345,2763,2513,2098
-,102,0,0,0,0,0
+,2367,9155,2411,7724,6435,1053
+,9349,4979,8745,6694,4074,5799
+,5522,7530,8231,5316,210,9372
+,3477,7606,1219,4246,9318,1140
+,5226,8113,2609,3521,3283,9902
+,8150,9434,369,5110,3582,935
+,2320,9711,7407,3815,4516,2614
+,2398,7376,6913,9656,4985,9631
+,3503,2678,2967,9773,7989,7844
+,2858,9397,1716,8652,9928,3313
+,3039,9109,4446,902,5157,358
+,3681,7192,1926,1875,9974,9825
+,4152,8702,6468,8950,2796,2226
+,8235,2518,1674,1411,5078,3361
+,6193,1817,6886,4345,3953,6858
+,9510,3379,9729,1953,1209,2049
+,4344,5641,5467,6195,8230,8146
+,6676,7962,3458,7571,1310,9628
+,2374,205,411,2089,7685,5783
+,9952,5164,1410,2056,380,245
-,903,0,0,0,0,0
+,7513,7070,431,6992,951,1428
+,7728,3899,6502,4315,365,9208
+,4422,1064,6361,6967,9442,7522
+,2371,7827,6348,5110,6025,4234
+,1277,7174,368,9262,8681,636
+,3801,1721,8571,6881,5606,4202
+,5329,4110,9237,8314,6054,2794
+,1929,6794,4779,5216,7782,2961
+,1722,5763,5033,3862,7001,9942
+,2285,2276,89,63,6413,2839
+,1261,462,8083,6848,9907,6265
+,2778,4453,5951,5484,8836,9569
+,1299,8790,8242,5450,1059,3474
+,4172,5356,8893,1875,5873,7929
+,9294,7740,3249,2116,4695,5505
+,7379,600,6829,8095,9400,335
+,4379,2484,6288,2437,4076,6691
+,9430,1173,6924,5586,9719,4941
+,4124,9027,1400,992,3789,3669
+,6112,4337,7206,5359,9672,1635
+,4693,8314,6792,6131,4286,9310
+,7882,9757,6914,3364,5564,9004
+,1689,7669,9971,7889,3785,2736
+,4214,3692,1934,2086,236,8281
+,6777,2713,1204,7664,4549,7700
+,2863,5481,2752,2820,4045,2817
+,5838,5448,3391,682,6154,6699
+,7184,8237,2846,6822,6180,4341
+,2595,6646,8116,3944,1787,8962
+,3101,2101,7317,3233,3642,7110
+,7499,325,5358,2986,2687,1394
+,2271,8904,1489,6829,282,410
+,1810,813,6029,9593,9655,8183
+,4801,8531,1329,1005,2679,2809
-,985,0,0,0,0,0
+,1842,4771,9569,4287,8456,4087
+,7603,6130,3909,1285,2905,9088
+,2352,4833,4279,843,3323,8990
+,5085,6811,7767,1821,9988,98
+,2095,1352,4168,9447,6185,7647
+,7456,1027,6168,1386,4931,6575
-,501,0,0,0,0,0
-,458,0,0,0,0,0
-,62,0,0,0,0,0
+,1528,6384,3398,69,3469,6219
+,296,888,2010,9284,4192,3492
+,8343,925,2077,4716,8985,5658
+,3326,368,2043,1376,4581,1604
+,948,9506,9850,2304,3235,8807
+,9578,5651,5170,2697,6198,3249
+,4848,6377,2129,4921,7648,6694
+,6284,7216,1118,1378,189,2451
+,4981,6339,9431,4487,5940,7006
+,7838,5831,7825,6478,4800,7582
+,1451,2134,9975,9099,9554,6800
+,2711,8507,8722,4783,668,680
+,3853,7746,5336,2731,8317,607
+,8107,6579,4339,5426,6941,1180
+,9211,836,2424,4188,750,2863
+,4657,805,7874,6582,490,4352
+,3070,6035,6973,9894,9591,6687
+,7407,3964,6888,9947,3526,4488
+,6899,1533,5068,2173,3096,2300
+,3689,2809,7433,3273,9856,1708
+,9707,3845,8431,8903,6222,1075
+,6877,32,3626,6377,6653,1465
-,122,0,0,0,0,0
+,184,4428,5925,1950,7339,3563
+,5705,2975,8614,6022,6335,2663
+,4793,6286,9895,2243,1379,5015
+,5681,2074,8139,7451,2189,8139
+,6389,8096,8181,4257,9337,2457
+,6130,3491,9833,3994,4782,7457
-,849,0,0,0,0,0
+,7712,1009,4581,9549,2479,168
+,7594,4920,9811,6843,8471,8864
+,7681,369,3732,3197,6861,164
+,5763,7790,8066,7766,4905,3868
+,8353,2827,3932,2569,2039,3796
+,3865,7778,3937,6660,9008,3910
+,9274,1896,9213,4641,4874,8436
+,7927,3338,9008,9874,6248,2655
+,4652,5982,9710,5695,8,6112
+,9156,6066,7472,7341,9323,2423
+,5597,8720,6076,5091,4656,6889
+,2907,4088,8650,9306,5179,883
+,2852,1378,1490,707,9657,6362
+,9990,6902,7174,2114,6377,6058
+,5288,7548,4161,9587,7966,9488
+,8480,3509,3609,4451,4541,5157
+,3759,1178,2471,3120,5710,9246
+,3270,8969,6744,7236,241,7673
+,185,1618,6573,1479,4693,8995
+,1257,1148,7699,6921,2492,939
-,777,0,0,0,0,0
+,5074,8827,9313,6772,9024,2945
+,4114,5605,1506,9587,4615,872
+,8410,6036,3172,9716,1599,9919
+,419,7543,4567,5279,7895,3139
+,7057,1897,4819,9479,7183,5989
+,8244,120,1306,2629,8912,2032
+,8597,9813,8032,9558,6118,2586
+,5342,4994,6744,3117,3333,8756
+,6835,990,2962,4139,9818,7571
+,5598,4434,5327,5600,9863,2430
+,5826,2852,5445,447,6638,8471
+,1693,3624,9428,7765,9084,7027
+,5225,717,2260,5025,2345,6037
+,6654,4084,585,2675,3814,6551
+,6335,7130,6417,782,8152,6265
-,829,0,0,0,0,0
+,667,5974,4258,2600,9450,5213
+,4399,7194,1153,4019,9916,6326
+,2605,3888,4671,44,9920,6804
+,6562,9787,5402,483,250,8033
+,1440,1559,6803,1032,1610,2612
+,2942,1896,2950,9354,3170,5442
+,3034,648,5925,6296,2725,9474
+,1645,7134,3480,3312,8782,3958
+,9043,7478,1360,1764,640,5633
+,8655,3683,2777,2263,6499,5608
+,1572,9876,1975,6749,3018,710
+,5610,9524,8123,8634,1158,8363
+,4593,5841,1853,7197,4419,2574
+,1928,6758,6332,7986,3927,7735
+,197,5791,638,4943,8585,4362
+,4511,8810,4426,7068,2946,2120
+,5628,4564,7501,308,2455,1896
+,33,4723,3123,7618,9256,7875
+,8663,2402,322,5966,6142,7192
+,6710,1947,6130,9440,1405,6203
-,931,0,0,0,0,0
+,8321,1131,5223,5408,1455,6939
-,588,0,0,0,0,0
+,1534,2957,213,6895,3480,1281
+,1016,5917,1213,9194,2459,1451
+,1565,9372,1324,1933,7117,8004
+,3033,7627,7105,6061,3955,7438
+,6409,7941,9057,9464,546,354
+,3267,4618,6888,2950,2718,9672
+,4492,4153,5533,200,4280,7651
+,5110,7511,6823,2855,426,2353
+,1863,7118,823,397,399,1382
+,7431,4150,8480,6938,3065,8030
+,5653,5283,9674,686,2318,5148
+,2492,2411,4901,2997,1098,780
+,477,3759,876,536,6715,2084
+,7026,1889,6900,5825,3698,1159
+,2528,6543,6934,8912,9625,5842
+,4976,8634,1570,761,463,6708
+,9527,5690,5538,1885,2327,2150
+,6809,7766,9606,9100,4955,4563
+,2990,5191,218,5040,82,4267
+,295,2841,5179,3633,1998,384
+,8409,2918,9038,5958,7632,3474
+,6121,1885,4517,7586,3814,234
+,4536,2217,654,6749,7510,7770
+,6379,2304,6743,7609,5713,7341
+,2365,5151,1975,8281,3969,2269
+,311,4408,3811,9781,6205,6723
+,3810,2501,540,2273,8954,6646
+,2848,6384,909,6588,5930,9737
+,4168,7268,6785,561,7759,2707
+,6073,6087,3171,8182,3750,1270
+,7622,3515,5986,7367,7944,6597
+,9847,8952,1791,3426,649,4291
+,2531,5592,8596,6384,2473,7286
+,9076,2609,6155,2134,109,7535
+,4221,5203,2790,8631,764,5305
-,738,0,0,0,0,0
+,5317,7721,6641,1562,8535,2500
+,7477,8495,3972,678,5826,9208
+,16,550,5597,1921,5455,9202
+,3901,5547,5724,4399,8742,6925
+,1632,2844,4094,6151,1760,4307
+,6981,8259,8988,4369,6785,3571
+,4953,3013,4451,2154,245,9299
+,3105,8212,1810,4043,4389,7574
-,741,0,0,0,0,0
+,5239,2558,9745,8576,9899,3688
+,3309,1863,9314,5527,2575,5169
+,4490,9385,5059,7712,1770,2094
-,582,0,0,0,0,0
+,8975,5524,4316,5958,6030,5305
+,492,5800,8102,1660,9609,2759
-,882,0,0,0,0,0
+,6490,5882,8620,7802,8019,8272
+,9447,5683,7489,3001,5795,3754
+,4027,3263,5390,2384,9785,6882
+,5808,9345,4708,7037,1750,6644
+,2510,9303,8914,227,9799,2113
+,7181,2756,4097,6708,1489,3647
+,8889,5810,5295,749,1267,6862
+,8529,7344,5245,6074,7823,2261
+,5974,6071,1803,4836,7234,5728
+,463,5817,1142,9895,4564,1963
+,3310,7027,1957,4791,9703,5161
+,8310,6762,7173,8587,541,6178
+,3328,6019,861,1243,1555,910
+,8879,8714,8163,4257,3114,9500
-,976,0,0,0,0,0
+,2090,7142,4092,9878,7335,1939
+,8331,2378,8623,8764,8786,9119
+,2569,4219,4271,5006,5702,1714
+,1453,5326,4556,721,1113,7320
+,7041,993,2697,6185,242,7597
+,619,5025,378,2426,7554,6064
+,2610,7105,1410,851,594,4177
+,3438,5944,4277,5578,8338,1400
-,14,0,0,0,0,0
+,8030,7125,6558,7849,8677,3450
+,1800,9761,8395,9069,8945,5089
+,1970,9368,7568,2231,5967,3642
+,2838,460,1624,8080,3734,4681
+,1934,9175,235,2978,3889,6142
+,3387,4809,1321,9740,5640,3263
+,5849,3647,2435,4783,3006,1326
+,161,4805,4906,3376,2211,1968
+,175,2096,9173,9725,7035,4923
-,267,0,0,0,0,0
+,7072,6488,6895,4732,8896,3637
+,5500,5589,1275,7620,5798,6749
+,5235,800,7784,3214,1187,1570
+,4678,7058,3393,4701,9321,9351
+,1483,4698,5963,7716,7241,9259
+,3071,9733,9205,1377,5951,6390
+,7638,7330,2161,8075,8400,8947
+,3421,2415,7646,7993,4829,4866
+,2025,6248,621,1454,6270,735
+,7428,2418,7855,9363,5832,8703
+,4316,5053,2223,3180,6626,5823
+,104,1082,7133,4315,7812,3301
+,9712,4899,5278,1079,4004,828
+,3609,2873,412,6952,6845,4129
+,6648,836,6852,7861,5601,2358
+,9460,3189,4862,5489,8666,8220
+,6168,6898,9699,431,3798,1383
+,187,9118,9113,8201,4739,7678
-,211,0,0,0,0,0
-,502,0,0,0,0,0
+,6894,6512,5001,8198,4643,9403
+,9137,7544,5246,4733,6617,4415
+,7566,431,4090,8906,4720,7612
+,650,529,1429,6366,1488,6399
+,8658,4327,1691,4742,1858,8338
+,9676,7961,4667,1411,6351,3070
+,3529,6056,699,8250,7928,6830
+,1811,5328,5511,3679,8841,7458
+,6420,5653,5937,8642,6855,1332
+,334,4058,9967,421,5609,3325
+,7025,2818,6931,4430,9284,4209
+,3838,8777,3146,6180,324,1243
-,352,0,0,0,0,0
+,4575,5585,8819,2266,2232,9552
+,4382,1660,2894,7846,4832,8073
+,9082,4040,5039,7431,8534,7780
+,1051,3678,3809,7346,7988,7180
+,844,8281,8930,9418,3268,653
+,1463,1145,4993,6086,4229,9670
+,128,4343,5617,9204,9067,5992
+,3021,4644,7994,592,1793,1028
+,5177,5876,4213,47,4878,6733
+,8459,1365,9816,8107,6492,7768
+,8058,7637,7956,1751,7409,5978
+,3139,9514,4027,5268,4105,684
+,2026,3722,5775,337,2492,8710
+,8351,2853,8888,3949,4260,2326
-,947,0,0,0,0,0
+,7332,5409,64,3830,5756,7166
+,499,3154,2645,7729,8385,3860
+,6080,2216,8867,489,4995,2897
+,6364,4561,8036,1791,5190,785
+,4633,5770,811,7597,5597,7145
+,3844,1624,2426,6275,519,5588
+,5691,832,5484,795,8030,9805
+,8756,7316,7050,9952,4829,8068
+,8120,6587,5255,5457,1465,7542
+,9829,1023,716,6975,7470,9270
+,6427,9968,8245,4208,9528,4107
+,7531,1912,1603,6053,2022,935
+,6471,2245,7725,4859,9717,436
+,9509,5866,8625,1619,3029,8734
+,6251,8471,8560,9163,2218,8772
-,485,0,0,0,0,0
+,6070,6193,9898,5674,4634,3599
+,5055,5226,6347,9759,5287,1048
